"Distance Along Transect (m)","June 12, 2012","March 16, 2012"
0,2.7,2.85
1.1363308457398205,2.7,2.85
2.2726616891235603,2.7,2.85
3.4089925325073,2.7,2.85
4.54532337589104,2.7,2.85
5.681654214562619,2.7,2.85
6.817985057946359,2.7,2.85
7.954315901330099,2.59,2.73
9.090646749426,2.56,2.7
10.22697759222072,2.56,2.69
11.363308435604461,2.55,2.69
12.49963927663212,2.54,2.69
13.63597012001586,2.54,2.69
14.772300963399601,2.42,2.55
15.908631809139422,2.3,2.43
17.04496265252316,2.3,2.43
18.181293490605718,2.3,2.43
19.317624333989457,2.3,2.43
20.453955179729277,2.3,2.43
21.590286023113016,2.3,2.43
22.726616866496755,2.25,2.38
23.862947709880494,2.03,2.15
24.999278553264233,2.03,2.15
26.135609399004053,2.03,2.15
27.27194023708661,2.03,2.15
28.40827108047035,2.03,2.15
29.54460192621017,2.03,2.15
30.68093276959391,1.68,1.79
31.817263612977648,1.55,1.65
32.953594454005305,1.51,1.6
34.089925297389044,1.49,1.58
35.22625614489593,1.49,1.58
36.362586988279666,1.49,1.58
37.498917831663405,1.3,1.38
38.635248675047144,1.15,1.23
39.77157951371872,1.03,1.11
40.90791035710246,1.03,1.11
42.0442412004862,1.03,1.11
43.18057204386994,1.03,1.11
44.316902887253676,1.03,1.11
45.453233727692314,0.97,1.04
46.58956457107605,0.57,0.57
47.72589541445979,0.57,0.57
48.86222626019961,0.57,0.57
49.99855710358335,0.57,0.57
51.13488794696709,0.57,0.57
52.27121878976181,0.54,0.52
53.40754963314555,0.12,0.04
54.54388047417321,-0.06,-0.15
55.68021132226911,-0.08,-0.17
56.81654216565285,-0.08,-0.17
57.95287300903659,-0.08,-0.17
59.08920385477641,-0.08,-0.17
60.225534692858965,-0.08,-0.17
61.3618655362427,-0.18,-0.35
62.49819637962644,-0.34,-0.61
63.63452722301018,-0.34,-0.61
64.77085806875,-0.34,-0.61
65.90718891213375,-0.34,-0.61
67.04351974844924,-0.34,-0.61
68.17985059183299,-0.37,-0.65
69.31618143757281,-0.6,-1.04
70.45251228095655,-0.6,-1.04
71.58884312610735,-0.67,-1.12
72.725173967135,-0.7,-1.16
73.86150480816266,-0.71,-1.17
74.99783565154641,-0.71,-1.17
76.1341664996423,-0.78,-1.39
77.27049734302605,-0.8,-1.46
78.40682818876587,-0.8,-1.46
79.54315902684843,-0.8,-1.46
80.67948987023217,-0.8,-1.46
81.81582071361592,-0.8,-1.46
82.95215155699967,-0.8,-1.46
84.08848240273949,-0.84,-1.57
85.22481324612323,-0.89,-1.74
86.36114408950698,-0.89,-1.74
87.49747492758954,-0.89,-1.74
88.63380577332936,-0.89,-1.74
89.7701366167131,-0.89,-1.74
90.90646746009685,-0.9,-1.75
92.0427983034806,-1.03,-1.98
93.17912914215218,-1.05,-2.01
94.31545998553592,-1.08,-2.03
95.45179083363182,-1.08,-2.03
96.58812167878261,-1.08,-2.03
97.72445252452243,-1.08,-2.03
98.86078336790618,-1.16,-2.18
99.99711420422167,-1.2,-2.24
101.13344504760542,-1.2,-2.24
102.26977589098917,-1.2,-2.24
103.40610673672899,-1.2,-2.24
104.54243758011273,-1.2,-2.24
105.67876842349648,-1.2,-2.24
106.81509926157904,-1.24,-2.28
107.95143010731886,-1.33,-2.34
109.0877609507026,-1.33,-2.34
110.22409179408635,-1.33,-2.34
111.3604226374701,-1.33,-2.34
112.49675348320991,-1.33,-2.34
113.63308432129247,-1.36,-2.35
114.76941516467622,-1.52,-2.45
115.90574601277211,-1.55,-2.46
117.04207685851193,-1.55,-2.46
118.17840769718352,-1.55,-2.46
119.31473854527941,-1.55,-2.46
120.4510693815949,-1.55,-2.46
121.5874002267457,-1.65,-2.46
