Date Time, Water Level, Sigma, I, L 
2012-12-01 00:00,0.708,0.094,0,0
2012-12-01 01:00,0.832,0.124,0,0
2012-12-01 02:00,0.776,0.100,0,0
2012-12-01 03:00,0.681,0.098,0,0
2012-12-01 04:00,0.537,0.085,0,0
2012-12-01 05:00,0.321,0.103,0,0
2012-12-01 06:00,0.086,0.094,0,0
2012-12-01 07:00,0.024,0.072,0,0
2012-12-01 08:00,0.074,0.081,0,0
2012-12-01 09:00,0.201,0.099,0,0
2012-12-01 10:00,0.393,0.068,0,0
2012-12-01 11:00,0.645,0.088,0,0
2012-12-01 12:00,0.918,0.100,0,0
2012-12-01 13:00,1.073,0.085,0,0
2012-12-01 14:00,1.118,0.085,0,0
2012-12-01 15:00,0.999,0.091,0,0
2012-12-01 16:00,0.859,0.088,0,0
2012-12-01 17:00,0.620,0.094,0,0
2012-12-01 18:00,0.377,0.094,0,0
2012-12-01 19:00,0.240,0.103,0,0
2012-12-01 20:00,0.244,0.096,0,0
2012-12-01 21:00,0.203,0.085,0,0
2012-12-01 22:00,0.361,0.105,0,0
2012-12-01 23:00,0.530,0.086,0,0
2012-12-02 00:00,0.771,0.097,0,0
2012-12-02 01:00,0.941,0.087,0,0
2012-12-02 02:00,0.995,0.109,0,0
2012-12-02 03:00,0.951,0.095,0,0
2012-12-02 04:00,0.841,0.102,0,0
2012-12-02 05:00,0.645,0.114,0,0
2012-12-02 06:00,0.454,0.119,0,0
2012-12-02 07:00,0.295,0.109,0,0
2012-12-02 08:00,0.236,0.118,0,0
2012-12-02 09:00,0.326,0.113,0,0
2012-12-02 10:00,0.409,0.096,0,0
2012-12-02 11:00,0.657,0.125,0,0
2012-12-02 12:00,0.890,0.124,0,0
2012-12-02 13:00,1.117,0.136,0,0
2012-12-02 14:00,1.237,0.134,0,0
2012-12-02 15:00,1.185,0.160,0,0
2012-12-02 16:00,1.057,0.116,0,0
2012-12-02 17:00,0.883,0.124,0,0
2012-12-02 18:00,0.624,0.112,0,0
2012-12-02 19:00,0.389,0.118,0,0
2012-12-02 20:00,0.266,0.117,0,0
2012-12-02 21:00,0.243,0.150,0,0
2012-12-02 22:00,0.283,0.115,0,0
2012-12-02 23:00,0.402,0.119,0,0
2012-12-03 00:00,0.597,0.127,0,0
2012-12-03 01:00,0.819,0.114,0,0
2012-12-03 02:00,0.939,0.104,0,0
2012-12-03 03:00,0.955,0.110,0,0
2012-12-03 04:00,0.867,0.129,0,0
2012-12-03 05:00,0.704,0.110,0,0
2012-12-03 06:00,0.524,0.073,0,0
2012-12-03 07:00,0.295,0.126,0,0
2012-12-03 08:00,0.144,0.112,0,0
2012-12-03 09:00,0.121,0.093,0,0
2012-12-03 10:00,0.200,0.106,0,0
2012-12-03 11:00,0.363,0.101,0,0
2012-12-03 12:00,0.573,0.104,0,0
2012-12-03 13:00,0.830,0.104,0,0
2012-12-03 14:00,1.006,0.094,0,0
2012-12-03 15:00,0.996,0.110,0,0
2012-12-03 16:00,0.925,0.105,0,0
2012-12-03 17:00,0.809,0.137,0,0
2012-12-03 18:00,0.620,0.139,0,0
2012-12-03 19:00,0.411,0.123,0,0
2012-12-03 20:00,0.211,0.116,0,0
2012-12-03 21:00,0.111,0.147,0,0
2012-12-03 22:00,0.086,0.118,0,0
2012-12-03 23:00,0.164,0.155,0,0
2012-12-04 00:00,0.303,0.130,0,0
2012-12-04 01:00,0.522,0.162,0,0
2012-12-04 02:00,0.716,0.155,0,0
2012-12-04 03:00,0.840,0.204,0,0
2012-12-04 04:00,0.841,0.136,0,0
2012-12-04 05:00,0.741,0.159,0,0
2012-12-04 06:00,0.631,0.198,0,0
2012-12-04 07:00,0.434,0.125,0,0
2012-12-04 08:00,0.278,0.177,0,0
2012-12-04 09:00,0.138,0.137,0,0
2012-12-04 10:00,0.153,0.137,0,0
2012-12-04 11:00,0.285,0.155,0,0
2012-12-04 12:00,0.412,0.166,0,0
2012-12-04 13:00,0.656,0.126,0,0
2012-12-04 14:00,0.857,0.178,0,0
2012-12-04 15:00,1.006,0.212,0,0
2012-12-04 16:00,1.003,0.176,0,0
2012-12-04 17:00,0.920,0.115,0,0
2012-12-04 18:00,0.755,0.129,0,0
2012-12-04 19:00,0.560,0.118,0,0
2012-12-04 20:00,0.347,0.126,0,0
2012-12-04 21:00,0.173,0.143,0,0
2012-12-04 22:00,0.086,0.142,0,0
2012-12-04 23:00,0.116,0.105,0,0
2012-12-05 00:00,0.211,0.114,0,0
2012-12-05 01:00,0.387,0.138,0,0
2012-12-05 02:00,0.579,0.122,0,0
2012-12-05 03:00,0.774,0.139,0,0
2012-12-05 04:00,0.867,0.107,0,0
2012-12-05 05:00,0.846,0.116,0,0
2012-12-05 06:00,0.737,0.126,0,0
2012-12-05 07:00,0.570,0.141,0,0
2012-12-05 08:00,0.411,0.135,0,0
2012-12-05 09:00,0.260,0.098,0,0
2012-12-05 10:00,0.145,0.098,0,0
2012-12-05 11:00,0.177,0.101,0,0
2012-12-05 12:00,0.267,0.107,0,0
2012-12-05 13:00,0.430,0.101,0,0
2012-12-05 14:00,0.629,0.113,0,0
2012-12-05 15:00,0.823,0.086,0,0
2012-12-05 16:00,0.951,0.113,0,0
2012-12-05 17:00,0.910,0.100,0,0
2012-12-05 18:00,0.838,0.120,0,0
2012-12-05 19:00,0.678,0.100,0,0
2012-12-05 20:00,0.426,0.089,0,0
2012-12-05 21:00,0.254,0.168,0,0
2012-12-05 22:00,0.155,0.147,0,0
2012-12-05 23:00,0.118,0.127,0,0
2012-12-06 00:00,0.149,0.124,0,0
2012-12-06 01:00,0.295,0.115,0,0
2012-12-06 02:00,0.463,0.100,0,0
2012-12-06 03:00,0.696,0.125,0,0
2012-12-06 04:00,0.912,0.084,0,0
2012-12-06 05:00,1.023,0.089,0,0
2012-12-06 06:00,0.988,0.134,0,0
2012-12-06 07:00,0.901,0.195,0,0
2012-12-06 08:00,0.811,0.268,0,0
2012-12-06 09:00,0.647,0.257,0,0
2012-12-06 10:00,0.465,0.274,0,0
2012-12-06 11:00,0.400,0.314,0,0
2012-12-06 12:00,0.460,0.336,0,0
2012-12-06 13:00,0.526,0.278,0,0
2012-12-06 14:00,0.659,0.271,0,0
2012-12-06 15:00,0.873,0.301,0,0
2012-12-06 16:00,1.031,0.218,0,0
2012-12-06 17:00,1.076,0.243,0,0
2012-12-06 18:00,1.011,0.283,0,0
2012-12-06 19:00,0.913,0.266,0,0
2012-12-06 20:00,0.762,0.251,0,0
2012-12-06 21:00,0.555,0.240,0,0
2012-12-06 22:00,0.371,0.252,0,0
2012-12-06 23:00,0.206,0.221,0,0
2012-12-07 00:00,0.171,0.203,0,0
2012-12-07 01:00,0.255,0.205,0,0
2012-12-07 02:00,0.351,0.229,0,0
2012-12-07 03:00,0.578,0.213,0,0
2012-12-07 04:00,0.815,0.171,0,0
2012-12-07 05:00,0.966,0.178,0,0
2012-12-07 06:00,1.045,0.195,0,0
2012-12-07 07:00,0.999,0.191,0,0
2012-12-07 08:00,0.920,0.191,0,0
2012-12-07 09:00,0.751,0.179,0,0
2012-12-07 10:00,0.513,0.189,0,0
2012-12-07 11:00,0.390,0.179,0,0
2012-12-07 12:00,0.256,0.153,0,0
2012-12-07 13:00,0.284,0.184,0,0
2012-12-07 14:00,0.396,0.197,0,0
2012-12-07 15:00,0.555,0.173,0,0
