Date Time, Water Level, Sigma, I, L 
2012-03-01 00:00,0.192,0.062,0,0
2012-03-01 01:00,0.338,0.068,0,0
2012-03-01 02:00,0.393,0.062,0,0
2012-03-01 03:00,0.582,0.066,0,0
2012-03-01 04:00,0.792,0.068,0,0
2012-03-01 05:00,0.893,0.062,0,0
2012-03-01 06:00,0.953,0.081,0,0
2012-03-01 07:00,0.921,0.069,0,0
2012-03-01 08:00,0.822,0.049,0,0
2012-03-01 09:00,0.672,0.055,0,0
2012-03-01 10:00,0.526,0.062,0,0
2012-03-01 11:00,0.366,0.065,0,0
2012-03-01 12:00,0.379,0.068,0,0
2012-03-01 13:00,0.386,0.063,0,0
2012-03-01 14:00,0.510,0.073,0,0
2012-03-01 15:00,0.617,0.065,0,0
2012-03-01 16:00,0.727,0.062,0,0
2012-03-01 17:00,0.835,0.068,0,0
2012-03-01 18:00,0.883,0.075,0,0
2012-03-01 19:00,0.881,0.072,0,0
2012-03-01 20:00,0.841,0.077,0,0
2012-03-01 21:00,0.717,0.066,0,0
2012-03-01 22:00,0.588,0.074,0,0
2012-03-01 23:00,0.491,0.072,0,0
2012-03-02 00:00,0.400,0.074,0,0
2012-03-02 01:00,0.429,0.062,0,0
2012-03-02 02:00,0.548,0.071,0,0
2012-03-02 03:00,0.744,0.070,0,0
2012-03-02 04:00,0.954,0.064,0,0
2012-03-02 05:00,1.130,0.072,0,0
2012-03-02 06:00,1.211,0.088,0,0
2012-03-02 07:00,1.212,0.070,0,0
2012-03-02 08:00,1.158,0.074,0,0
2012-03-02 09:00,1.074,0.093,0,0
2012-03-02 10:00,0.889,0.106,0,0
2012-03-02 11:00,0.707,0.098,0,0
2012-03-02 12:00,0.555,0.105,0,0
2012-03-02 13:00,0.507,0.110,0,0
2012-03-02 14:00,0.481,0.122,0,0
2012-03-02 15:00,0.517,0.100,0,0
2012-03-02 16:00,0.621,0.096,0,0
2012-03-02 17:00,0.777,0.112,0,0
2012-03-02 18:00,0.904,0.093,0,0
2012-03-02 19:00,0.938,0.111,0,0
2012-03-02 20:00,0.949,0.094,0,0
2012-03-02 21:00,0.883,0.122,0,0
2012-03-02 22:00,0.778,0.103,0,0
2012-03-02 23:00,0.591,0.117,0,0
2012-03-03 00:00,0.478,0.125,0,0
2012-03-03 01:00,0.451,0.108,0,0
2012-03-03 02:00,0.456,0.148,0,0
2012-03-03 03:00,0.571,0.121,0,0
2012-03-03 04:00,0.716,0.123,0,0
2012-03-03 05:00,0.921,0.102,0,0
2012-03-03 06:00,1.097,0.131,0,0
2012-03-03 07:00,1.209,0.137,0,0
2012-03-03 08:00,1.251,0.170,0,0
2012-03-03 09:00,1.188,0.136,0,0
2012-03-03 10:00,1.060,0.125,0,0
2012-03-03 11:00,0.896,0.152,0,0
2012-03-03 12:00,0.751,0.144,0,0
2012-03-03 13:00,0.576,0.152,0,0
2012-03-03 14:00,0.468,0.105,0,0
2012-03-03 15:00,0.480,0.110,0,0
2012-03-03 16:00,0.553,0.147,0,0
2012-03-03 17:00,0.737,0.159,0,0
2012-03-03 18:00,0.941,0.118,0,0
2012-03-03 19:00,0.906,0.110,0,0
2012-03-03 20:00,1.007,0.141,0,0
2012-03-03 21:00,1.070,0.110,0,0
2012-03-03 22:00,0.948,0.139,0,0
2012-03-03 23:00,0.769,0.110,0,0
2012-03-04 00:00,0.649,0.119,0,0
2012-03-04 01:00,0.434,0.115,0,0
2012-03-04 02:00,0.403,0.115,0,0
2012-03-04 03:00,0.430,0.102,0,0
2012-03-04 04:00,0.560,0.113,0,0
2012-03-04 05:00,0.691,0.108,0,0
2012-03-04 06:00,0.923,0.120,0,0
2012-03-04 07:00,1.081,0.124,0,0
2012-03-04 08:00,1.229,0.110,0,0
2012-03-04 09:00,1.170,0.105,0,0
2012-03-04 10:00,1.195,0.107,0,0
2012-03-04 11:00,1.068,0.083,0,0
2012-03-04 12:00,0.879,0.114,0,0
2012-03-04 13:00,0.721,0.103,0,0
2012-03-04 14:00,0.657,0.094,0,0
2012-03-04 15:00,0.451,0.118,0,0
2012-03-04 16:00,0.582,0.115,0,0
2012-03-04 17:00,0.567,0.109,0,0
2012-03-04 18:00,0.743,0.137,0,0
2012-03-04 19:00,0.949,0.122,0,0
2012-03-04 20:00,1.072,0.136,0,0
2012-03-04 21:00,1.131,0.127,0,0
2012-03-04 22:00,1.049,0.127,0,0
2012-03-04 23:00,0.903,0.122,0,0
2012-03-05 00:00,0.698,0.123,0,0
2012-03-05 01:00,0.457,0.139,0,0
2012-03-05 02:00,0.206,0.113,0,0
2012-03-05 03:00,0.117,0.133,0,0
2012-03-05 04:00,0.184,0.131,0,0
2012-03-05 05:00,0.230,0.128,0,0
2012-03-05 06:00,0.388,0.115,0,0
2012-03-05 07:00,0.677,0.125,0,0
2012-03-05 08:00,0.937,0.102,0,0
2012-03-05 09:00,1.016,0.104,0,0
2012-03-05 10:00,0.997,0.112,0,0
2012-03-05 11:00,0.941,0.094,0,0
2012-03-05 12:00,0.854,0.098,0,0
2012-03-05 13:00,0.620,0.089,0,0
2012-03-05 14:00,0.395,0.093,0,0
2012-03-05 15:00,0.171,0.085,0,0
2012-03-05 16:00,0.114,0.094,0,0
2012-03-05 17:00,0.157,0.092,0,0
2012-03-05 18:00,0.203,0.082,0,0
2012-03-05 19:00,0.407,0.081,0,0
2012-03-05 20:00,0.643,0.087,0,0
2012-03-05 21:00,1.064,0.081,0,0
2012-03-05 22:00,1.043,0.084,0,0
2012-03-05 23:00,0.781,0.075,0,0
2012-03-06 00:00,0.779,0.079,0,0
2012-03-06 01:00,0.605,0.073,0,0
2012-03-06 02:00,0.451,0.072,0,0
2012-03-06 03:00,0.083,0.068,0,0
2012-03-06 04:00,0.013,0.080,0,0
2012-03-06 05:00,0.097,0.067,0,0
2012-03-06 06:00,0.251,0.078,0,0
2012-03-06 07:00,0.513,0.073,0,0
2012-03-06 08:00,0.732,0.080,0,0
2012-03-06 09:00,1.001,0.075,0,0
2012-03-06 10:00,1.151,0.082,0,0
2012-03-06 11:00,1.095,0.091,0,0
2012-03-06 12:00,0.945,0.085,0,0
2012-03-06 13:00,0.723,0.075,0,0
2012-03-06 14:00,0.489,0.085,0,0
2012-03-06 15:00,0.213,0.076,0,0
2012-03-06 16:00,-0.029,0.074,0,0
2012-03-06 17:00,-0.021,0.068,0,0
2012-03-06 18:00,0.097,0.069,0,0
2012-03-06 19:00,0.308,0.070,0,0
2012-03-06 20:00,0.548,0.069,0,0
2012-03-06 21:00,0.849,0.066,0,0
2012-03-06 22:00,1.019,0.079,0,0
2012-03-06 23:00,1.059,0.080,0,0
2012-03-07 00:00,0.925,0.091,0,0
2012-03-07 01:00,0.712,0.089,0,0
2012-03-07 02:00,0.442,0.084,0,0
2012-03-07 03:00,0.170,0.075,0,0
2012-03-07 04:00,-0.132,0.076,0,0
2012-03-07 05:00,-0.209,0.070,0,0
2012-03-07 06:00,-0.144,0.075,0,0
2012-03-07 07:00,0.062,0.069,0,0
2012-03-07 08:00,0.337,0.084,0,0
2012-03-07 09:00,0.633,0.072,0,0
2012-03-07 10:00,0.882,0.064,0,0
2012-03-07 11:00,0.985,0.069,0,0
2012-03-07 12:00,0.946,0.075,0,0
2012-03-07 13:00,0.793,0.071,0,0
2012-03-07 14:00,0.518,0.073,0,0
2012-03-07 15:00,0.229,0.073,0,0
2012-03-07 16:00,-0.067,0.061,0,0
2012-03-07 17:00,-0.245,0.072,0,0
2012-03-07 18:00,-0.248,0.065,0,0
2012-03-07 19:00,-0.078,0.063,0,0
2012-03-07 20:00,0.185,0.064,0,0
2012-03-07 21:00,0.513,0.069,0,0
2012-03-07 22:00,0.777,0.060,0,0
2012-03-07 23:00,0.956,0.056,0,0
2012-03-08 00:00,0.924,0.067,0,0
2012-03-08 01:00,0.786,0.062,0,0
2012-03-08 02:00,0.526,0.065,0,0
2012-03-08 03:00,0.215,0.062,0,0
2012-03-08 04:00,-0.088,0.059,0,0
2012-03-08 05:00,-0.301,0.058,0,0
2012-03-08 06:00,-0.373,0.056,0,0
2012-03-08 07:00,-0.234,0.062,0,0
2012-03-08 08:00,0.027,0.058,0,0
2012-03-08 09:00,0.329,0.062,0,0
2012-03-08 10:00,0.652,0.055,0,0
2012-03-08 11:00,0.953,0.063,0,0
2012-03-08 12:00,1.026,0.054,0,0
2012-03-08 13:00,0.924,0.059,0,0
2012-03-08 14:00,0.705,0.063,0,0
2012-03-08 15:00,0.408,0.066,0,0
2012-03-08 16:00,0.048,0.057,0,0
2012-03-08 17:00,-0.260,0.062,0,0
2012-03-08 18:00,-0.407,0.057,0,0
2012-03-08 19:00,-0.384,0.065,0,0
2012-03-08 20:00,-0.151,0.072,0,0
2012-03-08 21:00,0.152,0.064,0,0
2012-03-08 22:00,0.464,0.067,0,0
2012-03-08 23:00,0.804,0.066,0,0
2012-03-09 00:00,0.979,0.063,0,0
2012-03-09 01:00,0.939,0.081,0,0
2012-03-09 02:00,0.767,0.078,0,0
2012-03-09 03:00,0.499,0.080,0,0
2012-03-09 04:00,0.152,0.075,0,0
2012-03-09 05:00,-0.228,0.074,0,0
2012-03-09 06:00,-0.422,0.078,0,0
2012-03-09 07:00,-0.427,0.076,0,0
2012-03-09 08:00,-0.293,0.097,0,0
2012-03-09 09:00,-0.055,0.077,0,0
2012-03-09 10:00,0.304,0.103,0,0
2012-03-09 11:00,0.639,0.108,0,0
2012-03-09 12:00,0.906,0.098,0,0
2012-03-09 13:00,0.942,0.102,0,0
2012-03-09 14:00,0.809,0.098,0,0
2012-03-09 15:00,0.716,0.096,0,0
2012-03-09 16:00,0.448,0.098,0,0
2012-03-09 17:00,-0.085,0.129,0,0
2012-03-09 18:00,-0.271,0.114,0,0
2012-03-09 19:00,-0.175,0.117,0,0
2012-03-09 20:00,-0.190,0.106,0,0
2012-03-09 21:00,0.004,0.110,0,0
2012-03-09 22:00,0.402,0.096,0,0
2012-03-09 23:00,0.864,0.107,0,0
2012-03-10 00:00,1.169,0.124,0,0
2012-03-10 01:00,1.257,0.113,0,0
2012-03-10 02:00,1.157,0.100,0,0
2012-03-10 03:00,0.938,0.093,0,0
2012-03-10 04:00,0.642,0.100,0,0
2012-03-10 05:00,0.238,0.098,0,0
2012-03-10 06:00,-0.133,0.082,0,0
2012-03-10 07:00,-0.300,0.089,0,0
2012-03-10 08:00,-0.276,0.069,0,0
2012-03-10 09:00,-0.067,0.084,0,0
2012-03-10 10:00,0.182,0.091,0,0
2012-03-10 11:00,0.599,0.096,0,0
2012-03-10 12:00,0.953,0.099,0,0
2012-03-10 13:00,1.113,0.111,0,0
2012-03-10 14:00,1.096,0.107,0,0
2012-03-10 15:00,0.950,0.102,0,0
2012-03-10 16:00,0.750,0.096,0,0
2012-03-10 17:00,0.420,0.107,0,0
2012-03-10 18:00,0.078,0.107,0,0
2012-03-10 19:00,-0.129,0.111,0,0
2012-03-10 20:00,-0.173,0.115,0,0
2012-03-10 21:00,-0.026,0.115,0,0
2012-03-10 22:00,0.179,0.108,0,0
2012-03-10 23:00,0.524,0.102,0,0
2012-03-11 00:00,0.917,0.092,0,0
2012-03-11 01:00,1.141,0.096,0,0
2012-03-11 02:00,1.207,0.091,0,0
2012-03-11 03:00,1.113,0.075,0,0
2012-03-11 04:00,0.907,0.087,0,0
2012-03-11 05:00,0.601,0.084,0,0
2012-03-11 06:00,0.203,0.087,0,0
2012-03-11 07:00,-0.097,0.085,0,0
2012-03-11 08:00,-0.235,0.087,0,0
2012-03-11 09:00,-0.203,0.092,0,0
2012-03-11 10:00,-0.069,0.081,0,0
2012-03-11 11:00,0.213,0.076,0,0
2012-03-11 12:00,0.606,0.083,0,0
2012-03-11 13:00,0.900,0.097,0,0
2012-03-11 14:00,1.021,0.071,0,0
2012-03-11 15:00,0.966,0.092,0,0
2012-03-11 16:00,0.797,0.091,0,0
2012-03-11 17:00,0.557,0.083,0,0
2012-03-11 18:00,0.221,0.084,0,0
2012-03-11 19:00,-0.081,0.078,0,0
2012-03-11 20:00,-0.245,0.087,0,0
2012-03-11 21:00,-0.190,0.083,0,0
2012-03-11 22:00,-0.063,0.079,0,0
2012-03-11 23:00,0.177,0.086,0,0
2012-03-12 00:00,0.533,0.074,0,0
2012-03-12 01:00,0.889,0.077,0,0
2012-03-12 02:00,1.093,0.087,0,0
2012-03-12 03:00,1.142,0.083,0,0
2012-03-12 04:00,1.059,0.072,0,0
2012-03-12 05:00,0.826,0.092,0,0
2012-03-12 06:00,0.501,0.096,0,0
2012-03-12 07:00,0.144,0.088,0,0
2012-03-12 08:00,-0.123,0.071,0,0
