Date Time, Water Level, Sigma, I, L 
2012-10-01 00:00,1.117,0.079,0,0
2012-10-01 01:00,1.077,0.088,0,0
2012-10-01 02:00,0.965,0.094,0,0
2012-10-01 03:00,0.776,0.102,0,0
2012-10-01 04:00,0.526,0.085,0,0
2012-10-01 05:00,0.284,0.083,0,0
2012-10-01 06:00,0.111,0.067,0,0
2012-10-01 07:00,0.172,0.089,0,0
2012-10-01 08:00,0.271,0.081,0,0
2012-10-01 09:00,0.502,0.096,0,0
2012-10-01 10:00,0.775,0.109,0,0
2012-10-01 11:00,1.032,0.101,0,0
2012-10-01 12:00,1.215,0.092,0,0
2012-10-01 13:00,1.209,0.085,0,0
2012-10-01 14:00,1.099,0.109,0,0
2012-10-01 15:00,0.912,0.085,0,0
2012-10-01 16:00,0.700,0.101,0,0
2012-10-01 17:00,0.416,0.103,0,0
2012-10-01 18:00,0.155,0.105,0,0
2012-10-01 19:00,0.104,0.108,0,0
2012-10-01 20:00,0.167,0.126,0,0
2012-10-01 21:00,0.295,0.096,0,0
2012-10-01 22:00,0.520,0.106,0,0
2012-10-01 23:00,0.782,0.114,0,0
2012-10-02 00:00,0.975,0.124,0,0
2012-10-02 01:00,1.042,0.130,0,0
2012-10-02 02:00,0.974,0.129,0,0
2012-10-02 03:00,0.828,0.126,0,0
2012-10-02 04:00,0.626,0.143,0,0
2012-10-02 05:00,0.340,0.133,0,0
2012-10-02 06:00,0.126,0.138,0,0
2012-10-02 07:00,0.062,0.142,0,0
2012-10-02 08:00,0.127,0.132,0,0
2012-10-02 09:00,0.279,0.126,0,0
2012-10-02 10:00,0.517,0.142,0,0
2012-10-02 11:00,0.774,0.130,0,0
2012-10-02 12:00,1.009,0.128,0,0
2012-10-02 13:00,1.140,0.104,0,0
2012-10-02 14:00,1.100,0.107,0,0
2012-10-02 15:00,0.967,0.125,0,0
2012-10-02 16:00,0.800,0.125,0,0
2012-10-02 17:00,0.507,0.137,0,0
2012-10-02 18:00,0.201,0.136,0,0
2012-10-02 19:00,-0.009,0.109,0,0
2012-10-02 20:00,0.084,0.148,0,0
2012-10-02 21:00,0.160,0.125,0,0
2012-10-02 22:00,0.324,0.139,0,0
2012-10-02 23:00,0.507,0.159,0,0
2012-10-03 00:00,0.763,0.162,0,0
2012-10-03 01:00,0.899,0.134,0,0
2012-10-03 02:00,0.908,0.140,0,0
2012-10-03 03:00,0.811,0.152,0,0
2012-10-03 04:00,0.686,0.121,0,0
2012-10-03 05:00,0.451,0.132,0,0
2012-10-03 06:00,0.193,0.122,0,0
2012-10-03 07:00,0.065,0.127,0,0
2012-10-03 08:00,0.081,0.125,0,0
2012-10-03 09:00,0.202,0.136,0,0
2012-10-03 10:00,0.371,0.126,0,0
2012-10-03 11:00,0.621,0.140,0,0
2012-10-03 12:00,0.875,0.140,0,0
2012-10-03 13:00,1.118,0.156,0,0
2012-10-03 14:00,1.158,0.150,0,0
2012-10-03 15:00,1.101,0.128,0,0
2012-10-03 16:00,0.941,0.142,0,0
2012-10-03 17:00,0.730,0.122,0,0
2012-10-03 18:00,0.481,0.125,0,0
2012-10-03 19:00,0.232,0.138,0,0
2012-10-03 20:00,0.180,0.123,0,0
2012-10-03 21:00,0.203,0.091,0,0
2012-10-03 22:00,0.285,0.112,0,0
2012-10-03 23:00,0.444,0.144,0,0
2012-10-04 00:00,0.636,0.114,0,0
2012-10-04 01:00,0.812,0.119,0,0
2012-10-04 02:00,0.924,0.132,0,0
2012-10-04 03:00,0.902,0.129,0,0
2012-10-04 04:00,0.774,0.119,0,0
2012-10-04 05:00,0.585,0.115,0,0
2012-10-04 06:00,0.395,0.098,0,0
2012-10-04 07:00,0.206,0.092,0,0
2012-10-04 08:00,0.125,0.084,0,0
2012-10-04 09:00,0.165,0.093,0,0
2012-10-04 10:00,0.271,0.085,0,0
2012-10-04 11:00,0.457,0.099,0,0
2012-10-04 12:00,0.711,0.113,0,0
2012-10-04 13:00,0.963,0.106,0,0
2012-10-04 14:00,1.097,0.080,0,0
2012-10-04 15:00,1.088,0.095,0,0
2012-10-04 16:00,0.987,0.098,0,0
2012-10-04 17:00,0.813,0.092,0,0
2012-10-04 18:00,0.641,0.096,0,0
2012-10-04 19:00,0.411,0.089,0,0
2012-10-04 20:00,0.258,0.089,0,0
2012-10-04 21:00,0.226,0.096,0,0
2012-10-04 22:00,0.252,0.075,0,0
2012-10-04 23:00,0.366,0.063,0,0
2012-10-05 00:00,0.512,0.074,0,0
2012-10-05 01:00,0.698,0.078,0,0
2012-10-05 02:00,0.850,0.093,0,0
2012-10-05 03:00,0.895,0.070,0,0
2012-10-05 04:00,0.829,0.074,0,0
2012-10-05 05:00,0.732,0.069,0,0
2012-10-05 06:00,0.585,0.063,0,0
2012-10-05 07:00,0.422,0.075,0,0
2012-10-05 08:00,0.283,0.049,0,0
2012-10-05 09:00,0.246,0.058,0,0
2012-10-05 10:00,0.326,0.070,0,0
2012-10-05 11:00,0.446,0.047,0,0
2012-10-05 12:00,0.658,0.062,0,0
2012-10-05 13:00,0.847,0.073,0,0
2012-10-05 14:00,1.043,0.070,0,0
2012-10-05 15:00,1.131,0.060,0,0
2012-10-05 16:00,1.133,0.058,0,0
2012-10-05 17:00,0.998,0.060,0,0
2012-10-05 18:00,0.853,0.052,0,0
2012-10-05 19:00,0.671,0.070,0,0
2012-10-05 20:00,0.501,0.063,0,0
2012-10-05 21:00,0.378,0.065,0,0
2012-10-05 22:00,0.359,0.064,0,0
2012-10-05 23:00,0.411,0.062,0,0
2012-10-06 00:00,0.506,0.081,0,0
2012-10-06 01:00,0.668,0.073,0,0
2012-10-06 02:00,0.822,0.058,0,0
2012-10-06 03:00,0.932,0.065,0,0
2012-10-06 04:00,0.956,0.061,0,0
2012-10-06 05:00,0.859,0.063,0,0
2012-10-06 06:00,0.755,0.075,0,0
2012-10-06 07:00,0.622,0.068,0,0
2012-10-06 08:00,0.436,0.068,0,0
2012-10-06 09:00,0.329,0.070,0,0
2012-10-06 10:00,0.301,0.081,0,0
2012-10-06 11:00,0.384,0.061,0,0
2012-10-06 12:00,0.528,0.057,0,0
2012-10-06 13:00,0.729,0.063,0,0
2012-10-06 14:00,0.930,0.064,0,0
2012-10-06 15:00,1.028,0.059,0,0
2012-10-06 16:00,1.086,0.056,0,0
2012-10-06 17:00,1.050,0.054,0,0
2012-10-06 18:00,0.954,0.045,0,0
2012-10-06 19:00,0.798,0.057,0,0
2012-10-06 20:00,0.632,0.058,0,0
2012-10-06 21:00,0.463,0.052,0,0
2012-10-06 22:00,0.334,0.060,0,0
2012-10-06 23:00,0.323,0.060,0,0
2012-10-07 00:00,0.370,0.064,0,0
2012-10-07 01:00,0.473,0.057,0,0
2012-10-07 02:00,0.776,0.071,0,0
2012-10-07 03:00,0.816,0.054,0,0
2012-10-07 04:00,0.915,0.068,0,0
2012-10-07 05:00,0.932,0.144,0,0
2012-10-07 06:00,0.937,0.205,0,0
2012-10-07 07:00,0.883,0.180,0,0
2012-10-07 08:00,0.705,0.238,0,0
2012-10-07 09:00,0.614,0.218,0,0
2012-10-07 10:00,0.531,0.237,0,0
2012-10-07 11:00,0.526,0.175,0,0
2012-10-07 12:00,0.644,0.201,0,0
