Date Time, Water Level, Sigma, I, L 
2012-04-01 00:00,0.589,0.057,0,0
2012-04-01 01:00,0.601,0.060,0,0
2012-04-01 02:00,0.651,0.079,0,0
2012-04-01 03:00,0.833,0.074,0,0
2012-04-01 04:00,0.999,0.074,0,0
2012-04-01 05:00,1.248,0.082,0,0
2012-04-01 06:00,1.350,0.087,0,0
2012-04-01 07:00,1.418,0.086,0,0
2012-04-01 08:00,1.401,0.092,0,0
2012-04-01 09:00,1.284,0.081,0,0
2012-04-01 10:00,1.120,0.081,0,0
2012-04-01 11:00,0.942,0.094,0,0
2012-04-01 12:00,0.737,0.088,0,0
2012-04-01 13:00,0.628,0.091,0,0
2012-04-01 14:00,0.631,0.086,0,0
2012-04-01 15:00,0.663,0.089,0,0
2012-04-01 16:00,0.785,0.096,0,0
2012-04-01 17:00,0.920,0.096,0,0
2012-04-01 18:00,1.093,0.101,0,0
2012-04-01 19:00,1.167,0.085,0,0
2012-04-01 20:00,1.166,0.097,0,0
2012-04-01 21:00,1.115,0.090,0,0
2012-04-01 22:00,0.989,0.101,0,0
2012-04-01 23:00,0.792,0.099,0,0
2012-04-02 00:00,0.560,0.100,0,0
2012-04-02 01:00,0.434,0.103,0,0
2012-04-02 02:00,0.400,0.089,0,0
2012-04-02 03:00,0.452,0.105,0,0
2012-04-02 04:00,0.589,0.098,0,0
2012-04-02 05:00,0.781,0.077,0,0
2012-04-02 06:00,0.949,0.098,0,0
2012-04-02 07:00,1.075,0.095,0,0
2012-04-02 08:00,1.088,0.080,0,0
2012-04-02 09:00,1.119,0.083,0,0
2012-04-02 10:00,1.007,0.086,0,0
2012-04-02 11:00,0.780,0.076,0,0
2012-04-02 12:00,0.728,0.081,0,0
2012-04-02 13:00,0.501,0.069,0,0
2012-04-02 14:00,0.440,0.075,0,0
2012-04-02 15:00,0.517,0.091,0,0
2012-04-02 16:00,0.634,0.101,0,0
2012-04-02 17:00,0.750,0.103,0,0
2012-04-02 18:00,0.989,0.098,0,0
2012-04-02 19:00,1.223,0.107,0,0
2012-04-02 20:00,1.333,0.106,0,0
2012-04-02 21:00,1.349,0.084,0,0
2012-04-02 22:00,1.222,0.094,0,0
2012-04-02 23:00,1.082,0.111,0,0
2012-04-03 00:00,0.859,0.099,0,0
2012-04-03 01:00,0.620,0.099,0,0
2012-04-03 02:00,0.445,0.087,0,0
2012-04-03 03:00,0.410,0.091,0,0
2012-04-03 04:00,0.439,0.085,0,0
2012-04-03 05:00,0.607,0.089,0,0
2012-04-03 06:00,0.824,0.089,0,0
2012-04-03 07:00,1.050,0.084,0,0
2012-04-03 08:00,1.194,0.078,0,0
2012-04-03 09:00,1.268,0.088,0,0
2012-04-03 10:00,1.266,0.075,0,0
2012-04-03 11:00,1.071,0.080,0,0
2012-04-03 12:00,0.841,0.092,0,0
2012-04-03 13:00,0.637,0.083,0,0
2012-04-03 14:00,0.425,0.080,0,0
2012-04-03 15:00,0.294,0.086,0,0
2012-04-03 16:00,0.316,0.077,0,0
2012-04-03 17:00,0.427,0.085,0,0
2012-04-03 18:00,0.677,0.079,0,0
2012-04-03 19:00,0.928,0.088,0,0
2012-04-03 20:00,1.131,0.087,0,0
2012-04-03 21:00,1.240,0.088,0,0
2012-04-03 22:00,1.202,0.082,0,0
2012-04-03 23:00,1.142,0.088,0,0
2012-04-04 00:00,0.904,0.086,0,0
2012-04-04 01:00,0.593,0.085,0,0
2012-04-04 02:00,0.341,0.080,0,0
2012-04-04 03:00,0.214,0.077,0,0
2012-04-04 04:00,0.177,0.085,0,0
2012-04-04 05:00,0.251,0.084,0,0
2012-04-04 06:00,0.446,0.086,0,0
2012-04-04 07:00,0.730,0.090,0,0
2012-04-04 08:00,1.012,0.088,0,0
2012-04-04 09:00,1.166,0.082,0,0
2012-04-04 10:00,1.210,0.106,0,0
2012-04-04 11:00,1.162,0.101,0,0
2012-04-04 12:00,0.984,0.107,0,0
2012-04-04 13:00,0.744,0.085,0,0
2012-04-04 14:00,0.474,0.103,0,0
2012-04-04 15:00,0.280,0.096,0,0
2012-04-04 16:00,0.178,0.106,0,0
2012-04-04 17:00,0.230,0.115,0,0
2012-04-04 18:00,0.424,0.119,0,0
2012-04-04 19:00,0.685,0.135,0,0
2012-04-04 20:00,1.036,0.141,0,0
2012-04-04 21:00,1.268,0.144,0,0
2012-04-04 22:00,1.377,0.127,0,0
2012-04-04 23:00,1.293,0.154,0,0
2012-04-05 00:00,1.201,0.155,0,0
2012-04-05 01:00,0.990,0.117,0,0
2012-04-05 02:00,0.632,0.160,0,0
2012-04-05 03:00,0.402,0.156,0,0
2012-04-05 04:00,0.191,0.132,0,0
2012-04-05 05:00,0.213,0.148,0,0
2012-04-05 06:00,0.338,0.106,0,0
2012-04-05 07:00,0.578,0.142,0,0
2012-04-05 08:00,0.933,0.142,0,0
2012-04-05 09:00,1.396,0.142,0,0
2012-04-05 10:00,1.519,0.124,0,0
2012-04-05 11:00,1.530,0.143,0,0
2012-04-05 12:00,1.471,0.127,0,0
2012-04-05 13:00,1.329,0.152,0,0
2012-04-05 14:00,0.963,0.145,0,0
2012-04-05 15:00,0.596,0.125,0,0
2012-04-05 16:00,0.395,0.139,0,0
2012-04-05 17:00,0.346,0.148,0,0
2012-04-05 18:00,0.389,0.122,0,0
2012-04-05 19:00,0.577,0.125,0,0
2012-04-05 20:00,0.889,0.124,0,0
2012-04-05 21:00,1.243,0.124,0,0
2012-04-05 22:00,1.525,0.127,0,0
2012-04-05 23:00,1.604,0.129,0,0
2012-04-06 00:00,1.544,0.119,0,0
2012-04-06 01:00,1.370,0.107,0,0
2012-04-06 02:00,1.079,0.121,0,0
2012-04-06 03:00,0.698,0.101,0,0
2012-04-06 04:00,0.324,0.108,0,0
2012-04-06 05:00,0.201,0.092,0,0
2012-04-06 06:00,0.165,0.101,0,0
2012-04-06 07:00,0.354,0.083,0,0
2012-04-06 08:00,0.570,0.080,0,0
2012-04-06 09:00,0.900,0.099,0,0
2012-04-06 10:00,1.234,0.080,0,0
2012-04-06 11:00,1.390,0.082,0,0
2012-04-06 12:00,1.377,0.080,0,0
2012-04-06 13:00,1.300,0.087,0,0
2012-04-06 14:00,1.075,0.095,0,0
2012-04-06 15:00,0.714,0.106,0,0
2012-04-06 16:00,0.394,0.115,0,0
2012-04-06 17:00,0.231,0.104,0,0
2012-04-06 18:00,0.169,0.128,0,0
2012-04-06 19:00,0.297,0.127,0,0
2012-04-06 20:00,0.587,0.132,0,0
2012-04-06 21:00,0.996,0.120,0,0
2012-04-06 22:00,1.361,0.109,0,0
2012-04-06 23:00,1.574,0.108,0,0
2012-04-07 00:00,1.685,0.106,0,0
2012-04-07 01:00,1.569,0.106,0,0
2012-04-07 02:00,1.342,0.104,0,0
2012-04-07 03:00,0.978,0.096,0,0
2012-04-07 04:00,0.567,0.091,0,0
2012-04-07 05:00,0.217,0.082,0,0
2012-04-07 06:00,0.063,0.094,0,0
2012-04-07 07:00,0.065,0.080,0,0
2012-04-07 08:00,0.283,0.085,0,0
2012-04-07 09:00,0.591,0.073,0,0
2012-04-07 10:00,0.909,0.071,0,0
2012-04-07 11:00,1.145,0.087,0,0
2012-04-07 12:00,1.365,0.087,0,0
2012-04-07 13:00,1.360,0.080,0,0
2012-04-07 14:00,1.149,0.091,0,0
2012-04-07 15:00,0.847,0.088,0,0
2012-04-07 16:00,0.518,0.089,0,0
2012-04-07 17:00,0.184,0.094,0,0
2012-04-07 18:00,0.029,0.087,0,0
2012-04-07 19:00,0.064,0.098,0,0
2012-04-07 20:00,0.251,0.096,0,0
2012-04-07 21:00,0.521,0.084,0,0
2012-04-07 22:00,0.903,0.095,0,0
2012-04-07 23:00,1.289,0.089,0,0
2012-04-08 00:00,1.521,0.100,0,0
2012-04-08 01:00,1.551,0.093,0,0
2012-04-08 02:00,1.429,0.096,0,0
2012-04-08 03:00,1.163,0.088,0,0
2012-04-08 04:00,0.797,0.091,0,0
2012-04-08 05:00,0.384,0.099,0,0
2012-04-08 06:00,0.054,0.089,0,0
2012-04-08 07:00,-0.074,0.073,0,0
2012-04-08 08:00,-0.039,0.081,0,0
2012-04-08 09:00,0.139,0.092,0,0
2012-04-08 10:00,0.417,0.087,0,0
2012-04-08 11:00,0.816,0.069,0,0
2012-04-08 12:00,1.120,0.075,0,0
2012-04-08 13:00,1.239,0.083,0,0
2012-04-08 14:00,1.174,0.081,0,0
2012-04-08 15:00,1.003,0.074,0,0
2012-04-08 16:00,0.725,0.086,0,0
2012-04-08 17:00,0.376,0.078,0,0
2012-04-08 18:00,0.107,0.083,0,0
2012-04-08 19:00,-0.011,0.073,0,0
2012-04-08 20:00,0.045,0.088,0,0
2012-04-08 21:00,0.208,0.063,0,0
2012-04-08 22:00,0.526,0.071,0,0
2012-04-08 23:00,0.951,0.076,0,0
2012-04-09 00:00,1.286,0.078,0,0
2012-04-09 01:00,1.497,0.076,0,0
2012-04-09 02:00,1.501,0.054,0,0
2012-04-09 03:00,1.365,0.057,0,0
2012-04-09 04:00,1.110,0.062,0,0
2012-04-09 05:00,0.747,0.054,0,0
2012-04-09 06:00,0.331,0.062,0,0
2012-04-09 07:00,0.028,0.063,0,0
2012-04-09 08:00,-0.049,0.069,0,0
2012-04-09 09:00,-0.010,0.060,0,0
2012-04-09 10:00,0.196,0.056,0,0
2012-04-09 11:00,0.461,0.066,0,0
2012-04-09 12:00,0.872,0.061,0,0
2012-04-09 13:00,1.133,0.063,0,0
2012-04-09 14:00,1.159,0.055,0,0
2012-04-09 15:00,1.115,0.058,0,0
