Date Time, Water Level, Sigma, I, L 
2012-02-01 00:00,-0.187,0.019,0,0
2012-02-01 01:00,-0.139,0.022,0,0
2012-02-01 02:00,-0.065,0.020,0,0
2012-02-01 03:00,0.145,0.021,0,0
2012-02-01 04:00,0.339,0.018,0,0
2012-02-01 05:00,0.503,0.017,0,0
2012-02-01 06:00,0.587,0.019,0,0
2012-02-01 07:00,0.614,0.018,0,0
2012-02-01 08:00,0.550,0.020,0,0
2012-02-01 09:00,0.446,0.017,0,0
2012-02-01 10:00,0.299,0.016,0,0
2012-02-01 11:00,0.155,0.018,0,0
2012-02-01 12:00,-0.005,0.019,0,0
2012-02-01 13:00,-0.026,0.019,0,0
2012-02-01 14:00,0.063,0.015,0,0
2012-02-01 15:00,0.085,0.014,0,0
2012-02-01 16:00,0.193,0.018,0,0
2012-02-01 17:00,0.364,0.018,0,0
2012-02-01 18:00,0.425,0.019,0,0
2012-02-01 19:00,0.467,0.018,0,0
2012-02-01 20:00,0.452,0.015,0,0
2012-02-01 21:00,0.387,0.016,0,0
2012-02-01 22:00,0.234,0.018,0,0
2012-02-01 23:00,0.078,0.018,0,0
2012-02-02 00:00,-0.034,0.016,0,0
2012-02-02 01:00,-0.100,0.017,0,0
2012-02-02 02:00,0.007,0.015,0,0
2012-02-02 03:00,0.145,0.015,0,0
2012-02-02 04:00,0.286,0.017,0,0
2012-02-02 05:00,0.503,0.018,0,0
2012-02-02 06:00,0.690,0.013,0,0
2012-02-02 07:00,0.773,0.017,0,0
2012-02-02 08:00,0.825,0.018,0,0
2012-02-02 09:00,0.788,0.017,0,0
2012-02-02 10:00,0.665,0.017,0,0
2012-02-02 11:00,0.510,0.020,0,0
2012-02-02 12:00,0.320,0.017,0,0
2012-02-02 13:00,0.221,0.017,0,0
2012-02-02 14:00,0.204,0.020,0,0
2012-02-02 15:00,0.249,0.019,0,0
2012-02-02 16:00,0.272,0.019,0,0
2012-02-02 17:00,0.455,0.016,0,0
2012-02-02 18:00,0.555,0.017,0,0
2012-02-02 19:00,0.673,0.017,0,0
2012-02-02 20:00,0.615,0.016,0,0
2012-02-02 21:00,0.642,0.016,0,0
2012-02-02 22:00,0.593,0.018,0,0
2012-02-02 23:00,0.399,0.019,0,0
2012-02-03 00:00,0.256,0.017,0,0
2012-02-03 01:00,0.176,0.018,0,0
2012-02-03 02:00,0.178,0.017,0,0
2012-02-03 03:00,0.289,0.016,0,0
2012-02-03 04:00,0.386,0.017,0,0
2012-02-03 05:00,0.519,0.016,0,0
2012-02-03 06:00,0.786,0.018,0,0
2012-02-03 07:00,1.034,0.025,0,0
2012-02-03 08:00,1.145,0.026,0,0
2012-02-03 09:00,1.126,0.032,0,0
2012-02-03 10:00,1.095,0.050,0,0
2012-02-03 11:00,0.989,0.044,0,0
2012-02-03 12:00,0.773,0.042,0,0
2012-02-03 13:00,0.570,0.043,0,0
2012-02-03 14:00,0.490,0.052,0,0
2012-02-03 15:00,0.446,0.051,0,0
2012-02-03 16:00,0.445,0.041,0,0
2012-02-03 17:00,0.490,0.038,0,0
2012-02-03 18:00,0.635,0.044,0,0
2012-02-03 19:00,0.773,0.040,0,0
2012-02-03 20:00,0.872,0.034,0,0
2012-02-03 21:00,0.895,0.031,0,0
2012-02-03 22:00,0.838,0.034,0,0
2012-02-03 23:00,0.723,0.042,0,0
2012-02-04 00:00,0.572,0.044,0,0
2012-02-04 01:00,0.343,0.032,0,0
2012-02-04 02:00,0.207,0.038,0,0
2012-02-04 03:00,0.174,0.039,0,0
2012-02-04 04:00,0.228,0.042,0,0
2012-02-04 05:00,0.358,0.044,0,0
2012-02-04 06:00,0.548,0.041,0,0
2012-02-04 07:00,0.760,0.038,0,0
2012-02-04 08:00,0.928,0.043,0,0
2012-02-04 09:00,1.008,0.045,0,0
2012-02-04 10:00,0.984,0.046,0,0
2012-02-04 11:00,0.917,0.052,0,0
2012-02-04 12:00,0.776,0.056,0,0
2012-02-04 13:00,0.568,0.048,0,0
2012-02-04 14:00,0.425,0.054,0,0
2012-02-04 15:00,0.241,0.061,0,0
2012-02-04 16:00,0.185,0.060,0,0
2012-02-04 17:00,0.267,0.053,0,0
2012-02-04 18:00,0.370,0.064,0,0
2012-02-04 19:00,0.564,0.064,0,0
2012-02-04 20:00,0.719,0.053,0,0
2012-02-04 21:00,0.855,0.061,0,0
2012-02-04 22:00,0.886,0.061,0,0
2012-02-04 23:00,0.789,0.063,0,0
2012-02-05 00:00,0.671,0.059,0,0
2012-02-05 01:00,0.464,0.063,0,0
2012-02-05 02:00,0.265,0.065,0,0
2012-02-05 03:00,0.144,0.066,0,0
2012-02-05 04:00,0.134,0.085,0,0
2012-02-05 05:00,0.251,0.076,0,0
2012-02-05 06:00,0.490,0.086,0,0
2012-02-05 07:00,0.677,0.087,0,0
2012-02-05 08:00,0.929,0.091,0,0
2012-02-05 09:00,1.146,0.073,0,0
2012-02-05 10:00,1.223,0.092,0,0
2012-02-05 11:00,1.236,0.077,0,0
2012-02-05 12:00,1.087,0.085,0,0
2012-02-05 13:00,0.893,0.083,0,0
2012-02-05 14:00,0.669,0.095,0,0
2012-02-05 15:00,0.464,0.089,0,0
2012-02-05 16:00,0.298,0.094,0,0
2012-02-05 17:00,0.302,0.086,0,0
2012-02-05 18:00,0.359,0.117,0,0
2012-02-05 19:00,0.567,0.070,0,0
2012-02-05 20:00,0.753,0.082,0,0
2012-02-05 21:00,0.979,0.079,0,0
2012-02-05 22:00,1.171,0.082,0,0
2012-02-05 23:00,1.139,0.082,0,0
2012-02-06 00:00,1.066,0.097,0,0
2012-02-06 01:00,0.824,0.075,0,0
2012-02-06 02:00,0.700,0.077,0,0
2012-02-06 03:00,0.487,0.073,0,0
2012-02-06 04:00,0.325,0.068,0,0
2012-02-06 05:00,0.246,0.083,0,0
2012-02-06 06:00,0.420,0.074,0,0
2012-02-06 07:00,0.643,0.066,0,0
2012-02-06 08:00,0.847,0.079,0,0
2012-02-06 09:00,1.056,0.069,0,0
2012-02-06 10:00,1.241,0.074,0,0
2012-02-06 11:00,1.286,0.081,0,0
2012-02-06 12:00,1.202,0.073,0,0
2012-02-06 13:00,1.043,0.065,0,0
2012-02-06 14:00,0.792,0.075,0,0
2012-02-06 15:00,0.519,0.082,0,0
2012-02-06 16:00,0.272,0.074,0,0
2012-02-06 17:00,0.144,0.060,0,0
2012-02-06 18:00,0.101,0.073,0,0
2012-02-06 19:00,0.247,0.074,0,0
2012-02-06 20:00,0.465,0.063,0,0
2012-02-06 21:00,0.719,0.069,0,0
2012-02-06 22:00,0.906,0.055,0,0
2012-02-06 23:00,1.006,0.054,0,0
2012-02-07 00:00,0.992,0.050,0,0
2012-02-07 01:00,0.833,0.065,0,0
2012-02-07 02:00,0.615,0.056,0,0
2012-02-07 03:00,0.377,0.055,0,0
2012-02-07 04:00,0.132,0.048,0,0
2012-02-07 05:00,-0.014,0.062,0,0
2012-02-07 06:00,0.001,0.047,0,0
2012-02-07 07:00,0.107,0.045,0,0
2012-02-07 08:00,0.357,0.053,0,0
2012-02-07 09:00,0.648,0.039,0,0
2012-02-07 10:00,0.903,0.048,0,0
2012-02-07 11:00,1.060,0.043,0,0
2012-02-07 12:00,1.077,0.044,0,0
2012-02-07 13:00,1.049,0.047,0,0
2012-02-07 14:00,0.812,0.040,0,0
2012-02-07 15:00,0.534,0.050,0,0
2012-02-07 16:00,0.222,0.047,0,0
2012-02-07 17:00,-0.006,0.043,0,0
2012-02-07 18:00,-0.133,0.038,0,0
2012-02-07 19:00,-0.066,0.045,0,0
2012-02-07 20:00,0.102,0.041,0,0
2012-02-07 21:00,0.375,0.035,0,0
2012-02-07 22:00,0.652,0.036,0,0
2012-02-07 23:00,0.842,0.036,0,0
2012-02-08 00:00,0.916,0.036,0,0
2012-02-08 01:00,0.858,0.040,0,0
2012-02-08 02:00,0.684,0.036,0,0
2012-02-08 03:00,0.451,0.045,0,0
2012-02-08 04:00,0.161,0.036,0,0
2012-02-08 05:00,-0.067,0.030,0,0
2012-02-08 06:00,-0.160,0.037,0,0
2012-02-08 07:00,-0.053,0.041,0,0
2012-02-08 08:00,0.154,0.036,0,0
2012-02-08 09:00,0.444,0.036,0,0
2012-02-08 10:00,0.794,0.036,0,0
2012-02-08 11:00,1.087,0.034,0,0
2012-02-08 12:00,1.255,0.038,0,0
2012-02-08 13:00,1.251,0.033,0,0
2012-02-08 14:00,1.103,0.031,0,0
2012-02-08 15:00,0.878,0.034,0,0
2012-02-08 16:00,0.598,0.030,0,0
2012-02-08 17:00,0.275,0.036,0,0
2012-02-08 18:00,0.118,0.040,0,0
2012-02-08 19:00,0.092,0.035,0,0
2012-02-08 20:00,0.208,0.038,0,0
2012-02-08 21:00,0.468,0.037,0,0
2012-02-08 22:00,0.760,0.040,0,0
2012-02-08 23:00,1.032,0.043,0,0
2012-02-09 00:00,1.354,0.040,0,0
2012-02-09 01:00,1.419,0.042,0,0
2012-02-09 02:00,1.290,0.047,0,0
2012-02-09 03:00,1.063,0.046,0,0
2012-02-09 04:00,0.808,0.044,0,0
2012-02-09 05:00,0.483,0.051,0,0
2012-02-09 06:00,0.234,0.046,0,0
2012-02-09 07:00,0.189,0.044,0,0
2012-02-09 08:00,0.295,0.040,0,0
2012-02-09 09:00,0.496,0.042,0,0
2012-02-09 10:00,0.801,0.037,0,0
2012-02-09 11:00,1.130,0.044,0,0
2012-02-09 12:00,1.396,0.045,0,0
2012-02-09 13:00,1.479,0.039,0,0
2012-02-09 14:00,1.398,0.044,0,0
2012-02-09 15:00,1.212,0.038,0,0
