Date Time, Water Level, Sigma, I, L 
2012-01-01 00:00,0.051,0.019,0,0
2012-01-01 01:00,0.135,0.019,0,0
2012-01-01 02:00,0.274,0.023,0,0
2012-01-01 03:00,0.513,0.018,0,0
2012-01-01 04:00,0.748,0.017,0,0
2012-01-01 05:00,0.848,0.017,0,0
2012-01-01 06:00,0.873,0.017,0,0
2012-01-01 07:00,0.835,0.020,0,0
2012-01-01 08:00,0.735,0.017,0,0
2012-01-01 09:00,0.579,0.020,0,0
2012-01-01 10:00,0.406,0.019,0,0
2012-01-01 11:00,0.267,0.020,0,0
2012-01-01 12:00,0.240,0.016,0,0
2012-01-01 13:00,0.324,0.019,0,0
2012-01-01 14:00,0.433,0.016,0,0
2012-01-01 15:00,0.580,0.015,0,0
2012-01-01 16:00,0.710,0.019,0,0
2012-01-01 17:00,0.819,0.019,0,0
2012-01-01 18:00,0.813,0.018,0,0
2012-01-01 19:00,0.823,0.015,0,0
2012-01-01 20:00,0.680,0.017,0,0
2012-01-01 21:00,0.552,0.019,0,0
2012-01-01 22:00,0.380,0.017,0,0
2012-01-01 23:00,0.200,0.016,0,0
2012-01-02 00:00,0.079,0.015,0,0
2012-01-02 01:00,0.111,0.014,0,0
2012-01-02 02:00,0.252,0.014,0,0
2012-01-02 03:00,0.410,0.013,0,0
2012-01-02 04:00,0.543,0.016,0,0
2012-01-02 05:00,0.705,0.016,0,0
2012-01-02 06:00,0.799,0.016,0,0
2012-01-02 07:00,0.854,0.017,0,0
2012-01-02 08:00,0.831,0.016,0,0
2012-01-02 09:00,0.670,0.017,0,0
2012-01-02 10:00,0.474,0.015,0,0
2012-01-02 11:00,0.288,0.018,0,0
2012-01-02 12:00,0.191,0.018,0,0
2012-01-02 13:00,0.219,0.015,0,0
2012-01-02 14:00,0.307,0.015,0,0
2012-01-02 15:00,0.492,0.014,0,0
2012-01-02 16:00,0.527,0.012,0,0
2012-01-02 17:00,0.676,0.014,0,0
2012-01-02 18:00,0.825,0.014,0,0
2012-01-02 19:00,0.853,0.018,0,0
2012-01-02 20:00,0.806,0.020,0,0
2012-01-02 21:00,0.656,0.020,0,0
2012-01-02 22:00,0.499,0.019,0,0
2012-01-02 23:00,0.296,0.021,0,0
2012-01-03 00:00,0.187,0.019,0,0
2012-01-03 01:00,0.118,0.020,0,0
2012-01-03 02:00,0.166,0.019,0,0
2012-01-03 03:00,0.246,0.022,0,0
2012-01-03 04:00,0.436,0.017,0,0
2012-01-03 05:00,0.674,0.019,0,0
2012-01-03 06:00,0.855,0.019,0,0
2012-01-03 07:00,0.924,0.019,0,0
2012-01-03 08:00,0.942,0.022,0,0
2012-01-03 09:00,0.871,0.017,0,0
2012-01-03 10:00,0.756,0.019,0,0
2012-01-03 11:00,0.667,0.021,0,0
2012-01-03 12:00,0.430,0.024,0,0
2012-01-03 13:00,0.376,0.029,0,0
2012-01-03 14:00,0.363,0.031,0,0
2012-01-03 15:00,0.382,0.029,0,0
2012-01-03 16:00,0.478,0.030,0,0
2012-01-03 17:00,0.634,0.040,0,0
2012-01-03 18:00,0.776,0.034,0,0
2012-01-03 19:00,0.837,0.037,0,0
2012-01-03 20:00,0.847,0.032,0,0
2012-01-03 21:00,0.807,0.038,0,0
2012-01-03 22:00,0.681,0.052,0,0
2012-01-03 23:00,0.586,0.030,0,0
2012-01-04 00:00,0.438,0.039,0,0
2012-01-04 01:00,0.362,0.039,0,0
2012-01-04 02:00,0.327,0.041,0,0
2012-01-04 03:00,0.337,0.050,0,0
2012-01-04 04:00,0.464,0.053,0,0
2012-01-04 05:00,0.688,0.042,0,0
2012-01-04 06:00,0.877,0.038,0,0
2012-01-04 07:00,1.004,0.042,0,0
2012-01-04 08:00,1.111,0.050,0,0
2012-01-04 09:00,1.036,0.034,0,0
2012-01-04 10:00,0.957,0.040,0,0
2012-01-04 11:00,0.826,0.038,0,0
2012-01-04 12:00,0.582,0.035,0,0
