Date Time, Water Level, Sigma, I, L 
2012-07-01 00:00,0.977,0.081,0,0
2012-07-01 01:00,0.622,0.108,0,0
2012-07-01 02:00,0.268,0.089,0,0
2012-07-01 03:00,0.142,0.079,0,0
2012-07-01 04:00,0.111,0.096,0,0
2012-07-01 05:00,0.135,0.086,0,0
2012-07-01 06:00,0.273,0.097,0,0
2012-07-01 07:00,0.690,0.097,0,0
2012-07-01 08:00,0.874,0.097,0,0
2012-07-01 09:00,1.006,0.101,0,0
2012-07-01 10:00,0.976,0.087,0,0
2012-07-01 11:00,0.949,0.092,0,0
2012-07-01 12:00,0.642,0.072,0,0
2012-07-01 13:00,0.407,0.073,0,0
2012-07-01 14:00,0.175,0.085,0,0
2012-07-01 15:00,0.044,0.089,0,0
2012-07-01 16:00,0.042,0.085,0,0
2012-07-01 17:00,0.191,0.079,0,0
2012-07-01 18:00,0.350,0.092,0,0
2012-07-01 19:00,0.683,0.094,0,0
2012-07-01 20:00,1.085,0.109,0,0
2012-07-01 21:00,1.354,0.087,0,0
2012-07-01 22:00,1.432,0.125,0,0
2012-07-01 23:00,1.279,0.088,0,0
2012-07-02 00:00,1.173,0.080,0,0
2012-07-02 01:00,0.911,0.093,0,0
2012-07-02 02:00,0.589,0.093,0,0
2012-07-02 03:00,0.162,0.073,0,0
2012-07-02 04:00,-0.114,0.075,0,0
2012-07-02 05:00,-0.050,0.064,0,0
2012-07-02 06:00,0.039,0.074,0,0
2012-07-02 07:00,0.233,0.059,0,0
2012-07-02 08:00,0.579,0.072,0,0
2012-07-02 09:00,0.797,0.065,0,0
2012-07-02 10:00,1.065,0.065,0,0
2012-07-02 11:00,1.054,0.070,0,0
2012-07-02 12:00,1.000,0.082,0,0
2012-07-02 13:00,0.771,0.073,0,0
2012-07-02 14:00,0.543,0.052,0,0
2012-07-02 15:00,0.237,0.078,0,0
2012-07-02 16:00,0.044,0.082,0,0
2012-07-02 17:00,0.085,0.065,0,0
2012-07-02 18:00,0.219,0.073,0,0
2012-07-02 19:00,0.398,0.103,0,0
2012-07-02 20:00,0.742,0.132,0,0
2012-07-02 21:00,1.172,0.113,0,0
2012-07-02 22:00,1.416,0.115,0,0
2012-07-02 23:00,1.508,0.114,0,0
2012-07-03 00:00,1.430,0.102,0,0
2012-07-03 01:00,1.260,0.094,0,0
2012-07-03 02:00,0.920,0.090,0,0
2012-07-03 03:00,0.513,0.089,0,0
2012-07-03 04:00,0.202,0.083,0,0
2012-07-03 05:00,0.025,0.080,0,0
2012-07-03 06:00,0.026,0.083,0,0
2012-07-03 07:00,0.086,0.109,0,0
2012-07-03 08:00,0.383,0.094,0,0
2012-07-03 09:00,0.704,0.094,0,0
2012-07-03 10:00,0.975,0.077,0,0
2012-07-03 11:00,1.102,0.084,0,0
2012-07-03 12:00,1.136,0.085,0,0
2012-07-03 13:00,1.044,0.091,0,0
2012-07-03 14:00,0.829,0.094,0,0
2012-07-03 15:00,0.484,0.079,0,0
2012-07-03 16:00,0.189,0.077,0,0
2012-07-03 17:00,0.027,0.078,0,0
2012-07-03 18:00,0.022,0.066,0,0
2012-07-03 19:00,0.130,0.068,0,0
2012-07-03 20:00,0.393,0.094,0,0
2012-07-03 21:00,0.755,0.071,0,0
2012-07-03 22:00,1.105,0.083,0,0
2012-07-03 23:00,1.352,0.092,0,0
2012-07-04 00:00,1.437,0.080,0,0
2012-07-04 01:00,1.372,0.082,0,0
2012-07-04 02:00,1.182,0.084,0,0
2012-07-04 03:00,0.827,0.094,0,0
2012-07-04 04:00,0.430,0.089,0,0
2012-07-04 05:00,0.104,0.091,0,0
2012-07-04 06:00,-0.041,0.084,0,0
2012-07-04 07:00,-0.067,0.085,0,0
2012-07-04 08:00,0.043,0.092,0,0
2012-07-04 09:00,0.336,0.094,0,0
2012-07-04 10:00,0.680,0.075,0,0
2012-07-04 11:00,0.946,0.082,0,0
2012-07-04 12:00,1.082,0.087,0,0
2012-07-04 13:00,1.130,0.087,0,0
2012-07-04 14:00,1.032,0.076,0,0
2012-07-04 15:00,0.763,0.084,0,0
2012-07-04 16:00,0.472,0.075,0,0
2012-07-04 17:00,0.205,0.061,0,0
2012-07-04 18:00,0.006,0.084,0,0
2012-07-04 19:00,0.016,0.076,0,0
2012-07-04 20:00,0.146,0.079,0,0
2012-07-04 21:00,0.411,0.086,0,0
2012-07-04 22:00,0.824,0.073,0,0
2012-07-04 23:00,1.141,0.082,0,0
2012-07-05 00:00,1.356,0.087,0,0
2012-07-05 01:00,1.416,0.067,0,0
2012-07-05 02:00,1.355,0.080,0,0
2012-07-05 03:00,1.139,0.064,0,0
2012-07-05 04:00,0.792,0.081,0,0
2012-07-05 05:00,0.432,0.069,0,0
2012-07-05 06:00,0.114,0.072,0,0
2012-07-05 07:00,-0.044,0.075,0,0
2012-07-05 08:00,0.033,0.066,0,0
2012-07-05 09:00,0.142,0.070,0,0
2012-07-05 10:00,0.415,0.079,0,0
2012-07-05 11:00,0.781,0.063,0,0
2012-07-05 12:00,1.033,0.076,0,0
2012-07-05 13:00,1.202,0.082,0,0
2012-07-05 14:00,1.164,0.076,0,0
2012-07-05 15:00,1.018,0.068,0,0
2012-07-05 16:00,0.795,0.088,0,0
2012-07-05 17:00,0.424,0.081,0,0
2012-07-05 18:00,0.161,0.067,0,0
2012-07-05 19:00,0.042,0.074,0,0
2012-07-05 20:00,0.053,0.078,0,0
2012-07-05 21:00,0.224,0.081,0,0
2012-07-05 22:00,0.496,0.074,0,0
2012-07-05 23:00,0.842,0.073,0,0
2012-07-06 00:00,1.165,0.087,0,0
2012-07-06 01:00,1.343,0.075,0,0
2012-07-06 02:00,1.341,0.070,0,0
2012-07-06 03:00,1.262,0.067,0,0
2012-07-06 04:00,1.023,0.089,0,0
2012-07-06 05:00,0.718,0.085,0,0
2012-07-06 06:00,0.356,0.075,0,0
2012-07-06 07:00,0.108,0.071,0,0
2012-07-06 08:00,0.039,0.085,0,0
2012-07-06 09:00,0.082,0.082,0,0
2012-07-06 10:00,0.248,0.085,0,0
2012-07-06 11:00,0.553,0.083,0,0
2012-07-06 12:00,0.915,0.093,0,0
2012-07-06 13:00,1.155,0.090,0,0
2012-07-06 14:00,1.250,0.086,0,0
2012-07-06 15:00,1.189,0.078,0,0
2012-07-06 16:00,1.081,0.091,0,0
2012-07-06 17:00,0.810,0.070,0,0
2012-07-06 18:00,0.526,0.070,0,0
2012-07-06 19:00,0.277,0.073,0,0
2012-07-06 20:00,0.174,0.073,0,0
2012-07-06 21:00,0.208,0.078,0,0
2012-07-06 22:00,0.358,0.080,0,0
2012-07-06 23:00,0.623,0.092,0,0
2012-07-07 00:00,0.939,0.074,0,0
2012-07-07 01:00,1.201,0.083,0,0
2012-07-07 02:00,1.327,0.080,0,0
2012-07-07 03:00,1.337,0.085,0,0
2012-07-07 04:00,1.234,0.075,0,0
2012-07-07 05:00,0.989,0.088,0,0
2012-07-07 06:00,0.697,0.096,0,0
2012-07-07 07:00,0.345,0.092,0,0
2012-07-07 08:00,0.178,0.078,0,0
2012-07-07 09:00,0.141,0.072,0,0
2012-07-07 10:00,0.216,0.080,0,0
2012-07-07 11:00,0.400,0.080,0,0
2012-07-07 12:00,0.706,0.097,0,0
2012-07-07 13:00,1.039,0.087,0,0
2012-07-07 14:00,1.203,0.093,0,0
2012-07-07 15:00,1.240,0.076,0,0
2012-07-07 16:00,1.169,0.071,0,0
2012-07-07 17:00,1.012,0.103,0,0
2012-07-07 18:00,0.791,0.079,0,0
2012-07-07 19:00,0.488,0.075,0,0
2012-07-07 20:00,0.266,0.085,0,0
2012-07-07 21:00,0.173,0.081,0,0
2012-07-07 22:00,0.252,0.077,0,0
2012-07-07 23:00,0.400,0.074,0,0
2012-07-08 00:00,0.633,0.084,0,0
2012-07-08 01:00,0.877,0.073,0,0
2012-07-08 02:00,1.089,0.087,0,0
2012-07-08 03:00,1.198,0.069,0,0
2012-07-08 04:00,1.143,0.071,0,0
2012-07-08 05:00,1.032,0.076,0,0
2012-07-08 06:00,0.802,0.074,0,0
2012-07-08 07:00,0.482,0.078,0,0
2012-07-08 08:00,0.169,0.078,0,0
2012-07-08 09:00,0.046,0.063,0,0
2012-07-08 10:00,0.087,0.089,0,0
2012-07-08 11:00,0.136,0.070,0,0
2012-07-08 12:00,0.353,0.061,0,0
2012-07-08 13:00,0.643,0.094,0,0
2012-07-08 14:00,0.960,0.081,0,0
2012-07-08 15:00,1.079,0.088,0,0
2012-07-08 16:00,1.141,0.086,0,0
2012-07-08 17:00,1.091,0.075,0,0
2012-07-08 18:00,0.953,0.066,0,0
2012-07-08 19:00,0.685,0.078,0,0
2012-07-08 20:00,0.478,0.084,0,0
2012-07-08 21:00,0.323,0.063,0,0
2012-07-08 22:00,0.284,0.088,0,0
2012-07-08 23:00,0.350,0.064,0,0
2012-07-09 00:00,0.448,0.082,0,0
2012-07-09 01:00,0.685,0.064,0,0
2012-07-09 02:00,0.949,0.073,0,0
2012-07-09 03:00,1.101,0.091,0,0
2012-07-09 04:00,1.140,0.077,0,0
2012-07-09 05:00,1.129,0.072,0,0
2012-07-09 06:00,0.931,0.058,0,0
2012-07-09 07:00,0.718,0.070,0,0
2012-07-09 08:00,0.494,0.067,0,0
2012-07-09 09:00,0.257,0.073,0,0
2012-07-09 10:00,0.196,0.068,0,0
2012-07-09 11:00,0.234,0.066,0,0
2012-07-09 12:00,0.332,0.078,0,0
2012-07-09 13:00,0.555,0.070,0,0
2012-07-09 14:00,0.863,0.075,0,0
2012-07-09 15:00,1.123,0.076,0,0
2012-07-09 16:00,1.228,0.078,0,0
2012-07-09 17:00,1.245,0.083,0,0
2012-07-09 18:00,1.165,0.088,0,0
2012-07-09 19:00,1.006,0.093,0,0
2012-07-09 20:00,0.784,0.101,0,0
2012-07-09 21:00,0.604,0.100,0,0
2012-07-09 22:00,0.453,0.108,0,0
2012-07-09 23:00,0.393,0.115,0,0
2012-07-10 00:00,0.425,0.117,0,0
2012-07-10 01:00,0.578,0.106,0,0
2012-07-10 02:00,0.738,0.099,0,0
2012-07-10 03:00,0.967,0.104,0,0
2012-07-10 04:00,1.103,0.094,0,0
2012-07-10 05:00,1.105,0.098,0,0
2012-07-10 06:00,1.040,0.082,0,0
2012-07-10 07:00,0.932,0.096,0,0
2012-07-10 08:00,0.738,0.000,1,0
2012-07-10 09:00,0.503,0.085,0,0
2012-07-10 10:00,0.291,0.092,0,0
2012-07-10 11:00,0.273,0.113,0,0
2012-07-10 12:00,0.386,0.011,1,0
2012-07-10 13:00,0.501,0.014,1,0
2012-07-10 14:00,0.781,0.020,1,0
2012-07-10 15:00,1.001,0.023,1,0
2012-07-10 16:00,1.179,0.022,1,0
2012-07-10 17:00,1.271,0.024,1,0
2012-07-10 18:00,1.210,0.029,1,0
2012-07-10 19:00,1.108,0.023,1,0
2012-07-10 20:00,0.934,0.019,1,0
2012-07-10 21:00,0.723,0.023,1,0
2012-07-10 22:00,0.525,0.018,1,0
2012-07-10 23:00,0.385,0.016,1,0
2012-07-11 00:00,0.385,0.015,1,0
