Date Time, Water Level, Sigma, I, L 
2012-06-01 00:00,0.747,0.064,0,0
2012-06-01 01:00,0.472,0.073,0,0
2012-06-01 02:00,0.251,0.071,0,0
2012-06-01 03:00,0.178,0.060,0,0
2012-06-01 04:00,0.245,0.066,0,0
2012-06-01 05:00,0.407,0.048,0,0
2012-06-01 06:00,0.665,0.067,0,0
2012-06-01 07:00,0.887,0.061,0,0
2012-06-01 08:00,1.061,0.064,0,0
2012-06-01 09:00,1.127,0.063,0,0
2012-06-01 10:00,1.043,0.066,0,0
2012-06-01 11:00,0.895,0.056,0,0
2012-06-01 12:00,0.637,0.061,0,0
2012-06-01 13:00,0.379,0.059,0,0
2012-06-01 14:00,0.188,0.073,0,0
2012-06-01 15:00,0.138,0.059,0,0
2012-06-01 16:00,0.200,0.062,0,0
2012-06-01 17:00,0.364,0.068,0,0
2012-06-01 18:00,0.686,0.077,0,0
2012-06-01 19:00,1.018,0.071,0,0
2012-06-01 20:00,1.288,0.062,0,0
2012-06-01 21:00,1.426,0.068,0,0
2012-06-01 22:00,1.409,0.052,0,0
2012-06-01 23:00,1.288,0.066,0,0
2012-06-02 00:00,1.064,0.058,0,0
2012-06-02 01:00,0.737,0.070,0,0
2012-06-02 02:00,0.363,0.080,0,0
2012-06-02 03:00,0.147,0.057,0,0
2012-06-02 04:00,0.114,0.083,0,0
2012-06-02 05:00,0.147,0.073,0,0
2012-06-02 06:00,0.295,0.063,0,0
2012-06-02 07:00,0.610,0.059,0,0
2012-06-02 08:00,0.969,0.062,0,0
2012-06-02 09:00,1.104,0.072,0,0
2012-06-02 10:00,1.116,0.087,0,0
2012-06-02 11:00,1.085,0.063,0,0
2012-06-02 12:00,0.924,0.077,0,0
2012-06-02 13:00,0.694,0.077,0,0
2012-06-02 14:00,0.416,0.068,0,0
2012-06-02 15:00,0.279,0.056,0,0
2012-06-02 16:00,0.156,0.073,0,0
2012-06-02 17:00,0.298,0.072,0,0
2012-06-02 18:00,0.502,0.076,0,0
2012-06-02 19:00,0.841,0.070,0,0
2012-06-02 20:00,1.190,0.069,0,0
2012-06-02 21:00,1.476,0.063,0,0
2012-06-02 22:00,1.642,0.059,0,0
2012-06-02 23:00,1.613,0.054,0,0
2012-06-03 00:00,1.460,0.073,0,0
2012-06-03 01:00,1.166,0.063,0,0
2012-06-03 02:00,0.776,0.064,0,0
2012-06-03 03:00,0.428,0.079,0,0
2012-06-03 04:00,0.185,0.053,0,0
2012-06-03 05:00,0.094,0.060,0,0
2012-06-03 06:00,0.185,0.088,0,0
2012-06-03 07:00,0.350,0.069,0,0
2012-06-03 08:00,0.676,0.052,0,0
2012-06-03 09:00,0.966,0.066,0,0
2012-06-03 10:00,1.150,0.084,0,0
