Date Time, Water Level, Sigma, I, L 
2012-05-01 00:00,0.214,0.047,0,0
2012-05-01 01:00,0.155,0.051,0,0
2012-05-01 02:00,0.167,0.049,0,0
2012-05-01 03:00,0.287,0.045,0,0
2012-05-01 04:00,0.432,0.048,0,0
2012-05-01 05:00,0.631,0.053,0,0
2012-05-01 06:00,0.810,0.044,0,0
2012-05-01 07:00,0.887,0.051,0,0
2012-05-01 08:00,0.914,0.054,0,0
2012-05-01 09:00,0.800,0.055,0,0
2012-05-01 10:00,0.621,0.055,0,0
2012-05-01 11:00,0.378,0.062,0,0
2012-05-01 12:00,0.173,0.052,0,0
2012-05-01 13:00,0.034,0.062,0,0
2012-05-01 14:00,0.006,0.054,0,0
2012-05-01 15:00,0.084,0.055,0,0
2012-05-01 16:00,0.251,0.056,0,0
2012-05-01 17:00,0.483,0.058,0,0
2012-05-01 18:00,0.682,0.057,0,0
2012-05-01 19:00,0.874,0.061,0,0
2012-05-01 20:00,0.925,0.059,0,0
2012-05-01 21:00,0.880,0.057,0,0
2012-05-01 22:00,0.757,0.057,0,0
2012-05-01 23:00,0.521,0.067,0,0
2012-05-02 00:00,0.256,0.065,0,0
2012-05-02 01:00,0.035,0.060,0,0
2012-05-02 02:00,-0.036,0.060,0,0
2012-05-02 03:00,-0.026,0.049,0,0
2012-05-02 04:00,0.154,0.063,0,0
2012-05-02 05:00,0.339,0.054,0,0
2012-05-02 06:00,0.606,0.058,0,0
2012-05-02 07:00,0.844,0.065,0,0
2012-05-02 08:00,0.907,0.064,0,0
2012-05-02 09:00,0.910,0.050,0,0
2012-05-02 10:00,0.810,0.057,0,0
2012-05-02 11:00,0.643,0.057,0,0
2012-05-02 12:00,0.408,0.063,0,0
2012-05-02 13:00,0.174,0.049,0,0
2012-05-02 14:00,0.067,0.067,0,0
2012-05-02 15:00,0.113,0.060,0,0
2012-05-02 16:00,0.154,0.058,0,0
2012-05-02 17:00,0.431,0.054,0,0
2012-05-02 18:00,0.716,0.054,0,0
