Date Time, Water Level, Sigma, I, L 
2012-09-01 00:00,1.118,0.063,0,0
2012-09-01 01:00,1.048,0.083,0,0
2012-09-01 02:00,0.904,0.070,0,0
2012-09-01 03:00,0.641,0.071,0,0
2012-09-01 04:00,0.325,0.060,0,0
2012-09-01 05:00,0.034,0.058,0,0
2012-09-01 06:00,-0.127,0.060,0,0
2012-09-01 07:00,-0.091,0.068,0,0
2012-09-01 08:00,0.064,0.062,0,0
2012-09-01 09:00,0.275,0.058,0,0
2012-09-01 10:00,0.607,0.060,0,0
2012-09-01 11:00,0.919,0.063,0,0
2012-09-01 12:00,1.080,0.048,0,0
2012-09-01 13:00,1.072,0.073,0,0
2012-09-01 14:00,0.993,0.060,0,0
2012-09-01 15:00,0.795,0.066,0,0
2012-09-01 16:00,0.507,0.082,0,0
2012-09-01 17:00,0.228,0.048,0,0
2012-09-01 18:00,0.039,0.047,0,0
2012-09-01 19:00,0.032,0.052,0,0
2012-09-01 20:00,0.065,0.059,0,0
2012-09-01 21:00,0.293,0.048,0,0
2012-09-01 22:00,0.576,0.073,0,0
2012-09-01 23:00,0.848,0.058,0,0
2012-09-02 00:00,1.075,0.075,0,0
2012-09-02 01:00,1.117,0.056,0,0
2012-09-02 02:00,1.037,0.057,0,0
2012-09-02 03:00,0.854,0.061,0,0
2012-09-02 04:00,0.595,0.070,0,0
2012-09-02 05:00,0.331,0.071,0,0
2012-09-02 06:00,0.058,0.083,0,0
2012-09-02 07:00,0.006,0.055,0,0
2012-09-02 08:00,0.134,0.065,0,0
2012-09-02 09:00,0.282,0.084,0,0
2012-09-02 10:00,0.545,0.082,0,0
2012-09-02 11:00,0.889,0.079,0,0
2012-09-02 12:00,1.127,0.100,0,0
2012-09-02 13:00,1.254,0.061,0,0
2012-09-02 14:00,1.222,0.091,0,0
2012-09-02 15:00,1.086,0.084,0,0
2012-09-02 16:00,0.898,0.061,0,0
2012-09-02 17:00,0.652,0.068,0,0
2012-09-02 18:00,0.373,0.100,0,0
2012-09-02 19:00,0.250,0.096,0,0
2012-09-02 20:00,0.297,0.080,0,0
2012-09-02 21:00,0.418,0.112,0,0
2012-09-02 22:00,0.599,0.097,0,0
2012-09-02 23:00,0.842,0.100,0,0
2012-09-03 00:00,1.114,0.081,0,0
2012-09-03 01:00,1.235,0.117,0,0
2012-09-03 02:00,1.226,0.095,0,0
2012-09-03 03:00,1.130,0.082,0,0
2012-09-03 04:00,0.938,0.094,0,0
2012-09-03 05:00,0.699,0.100,0,0
2012-09-03 06:00,0.385,0.084,0,0
2012-09-03 07:00,0.184,0.110,0,0
2012-09-03 08:00,0.243,0.087,0,0
2012-09-03 09:00,0.352,0.094,0,0
2012-09-03 10:00,0.521,0.135,0,0
2012-09-03 11:00,0.811,0.126,0,0
2012-09-03 12:00,1.093,0.101,0,0
2012-09-03 13:00,1.299,0.099,0,0
2012-09-03 14:00,1.306,0.121,0,0
2012-09-03 15:00,1.282,0.101,0,0
2012-09-03 16:00,1.072,0.124,0,0
2012-09-03 17:00,0.807,0.085,0,0
2012-09-03 18:00,0.522,0.092,0,0
2012-09-03 19:00,0.301,0.075,0,0
2012-09-03 20:00,0.295,0.099,0,0
2012-09-03 21:00,0.345,0.118,0,0
2012-09-03 22:00,0.461,0.103,0,0
2012-09-03 23:00,0.618,0.082,0,0
2012-09-04 00:00,0.874,0.102,0,0
2012-09-04 01:00,1.099,0.091,0,0
2012-09-04 02:00,1.186,0.133,0,0
2012-09-04 03:00,1.118,0.111,0,0
2012-09-04 04:00,1.001,0.133,0,0
2012-09-04 05:00,0.802,0.131,0,0
2012-09-04 06:00,0.554,0.171,0,0
2012-09-04 07:00,0.313,0.203,0,0
2012-09-04 08:00,0.214,0.238,0,0
2012-09-04 09:00,0.256,0.190,0,0
2012-09-04 10:00,0.398,0.217,0,0
2012-09-04 11:00,0.552,0.177,0,0
2012-09-04 12:00,0.837,0.196,0,0
2012-09-04 13:00,1.084,0.231,0,0
2012-09-04 14:00,1.234,0.241,0,0
2012-09-04 15:00,1.181,0.285,0,0
2012-09-04 16:00,1.107,0.213,0,0
2012-09-04 17:00,0.948,0.189,0,0
2012-09-04 18:00,0.713,0.306,0,0
2012-09-04 19:00,0.476,0.246,0,0
2012-09-04 20:00,0.306,0.317,0,0
2012-09-04 21:00,0.296,0.236,0,0
2012-09-04 22:00,0.329,0.202,0,0
2012-09-04 23:00,0.447,0.167,0,0
2012-09-05 00:00,0.601,0.275,0,0
2012-09-05 01:00,0.835,0.152,0,0
2012-09-05 02:00,1.002,0.342,0,0
2012-09-05 03:00,0.979,0.210,0,0
2012-09-05 04:00,0.895,0.288,0,0
2012-09-05 05:00,0.745,0.291,0,0
2012-09-05 06:00,0.513,0.192,0,0
2012-09-05 07:00,0.284,0.310,0,0
2012-09-05 08:00,0.134,0.229,0,0
2012-09-05 09:00,0.025,0.252,0,0
2012-09-05 10:00,0.114,0.198,0,0
2012-09-05 11:00,0.233,0.226,0,0
2012-09-05 12:00,0.425,0.167,0,0
2012-09-05 13:00,0.682,0.225,0,0
2012-09-05 14:00,0.884,0.187,0,0
2012-09-05 15:00,0.974,0.204,0,0
2012-09-05 16:00,0.947,0.209,0,0
2012-09-05 17:00,0.829,0.235,0,0
2012-09-05 18:00,0.658,0.186,0,0
2012-09-05 19:00,0.451,0.157,0,0
2012-09-05 20:00,0.259,0.184,0,0
2012-09-05 21:00,0.136,0.178,0,0
2012-09-05 22:00,0.100,0.183,0,0
2012-09-05 23:00,0.164,0.182,0,0
2012-09-06 00:00,0.309,0.206,0,0
2012-09-06 01:00,0.483,0.142,0,0
2012-09-06 02:00,0.655,0.190,0,0
2012-09-06 03:00,0.741,0.167,0,0
2012-09-06 04:00,0.773,0.223,0,0
2012-09-06 05:00,0.663,0.197,0,0
2012-09-06 06:00,0.503,0.175,0,0
2012-09-06 07:00,0.315,0.207,0,0
2012-09-06 08:00,0.141,0.164,0,0
2012-09-06 09:00,0.017,0.146,0,0
2012-09-06 10:00,0.018,0.179,0,0
2012-09-06 11:00,0.121,0.209,0,0
2012-09-06 12:00,0.316,0.207,0,0
2012-09-06 13:00,0.534,0.159,0,0
2012-09-06 14:00,0.753,0.140,0,0
2012-09-06 15:00,0.912,0.173,0,0
2012-09-06 16:00,0.925,0.168,0,0
2012-09-06 17:00,0.937,0.207,0,0
2012-09-06 18:00,0.854,0.154,0,0
2012-09-06 19:00,0.682,0.180,0,0
2012-09-06 20:00,0.587,0.153,0,0
2012-09-06 21:00,0.536,0.189,0,0
2012-09-06 22:00,0.259,0.154,0,0
2012-09-06 23:00,0.286,0.146,0,0
2012-09-07 00:00,0.482,0.178,0,0
2012-09-07 01:00,0.586,0.190,0,0
2012-09-07 02:00,0.666,0.205,0,0
2012-09-07 03:00,0.830,0.192,0,0
2012-09-07 04:00,0.946,0.236,0,0
2012-09-07 05:00,0.892,0.181,0,0
2012-09-07 06:00,0.813,0.134,0,0
2012-09-07 07:00,0.671,0.244,0,0
2012-09-07 08:00,0.507,0.155,0,0
2012-09-07 09:00,0.358,0.205,0,0
2012-09-07 10:00,0.270,0.285,0,0
2012-09-07 11:00,0.314,0.170,0,0
2012-09-07 12:00,0.423,0.180,0,0
2012-09-07 13:00,0.535,0.242,0,0
2012-09-07 14:00,0.764,0.246,0,0
2012-09-07 15:00,0.925,0.275,0,0
2012-09-07 16:00,1.085,0.261,0,0
2012-09-07 17:00,1.130,0.252,0,0
2012-09-07 18:00,1.063,0.263,0,0
2012-09-07 19:00,0.938,0.311,0,0
2012-09-07 20:00,0.747,0.220,0,0
2012-09-07 21:00,0.578,0.256,0,0
2012-09-07 22:00,0.482,0.315,0,0
2012-09-07 23:00,0.376,0.266,0,0
2012-09-08 00:00,0.382,0.264,0,0
2012-09-08 01:00,0.456,0.264,0,0
2012-09-08 02:00,0.571,0.237,0,0
2012-09-08 03:00,0.715,0.233,0,0
2012-09-08 04:00,0.880,0.193,0,0
2012-09-08 05:00,0.905,0.223,0,0
2012-09-08 06:00,0.818,0.167,0,0
2012-09-08 07:00,0.759,0.229,0,0
2012-09-08 08:00,0.620,0.155,0,0
2012-09-08 09:00,0.461,0.249,0,0
2012-09-08 10:00,0.320,0.236,0,0
2012-09-08 11:00,0.298,0.201,0,0
2012-09-08 12:00,0.328,0.180,0,0
2012-09-08 13:00,0.487,0.161,0,0
2012-09-08 14:00,0.552,0.220,0,0
2012-09-08 15:00,0.717,0.226,0,0
2012-09-08 16:00,0.913,0.249,0,0
2012-09-08 17:00,1.003,0.196,0,0
2012-09-08 18:00,0.974,0.236,0,0
2012-09-08 19:00,0.917,0.160,0,0
2012-09-08 20:00,0.812,0.200,0,0
2012-09-08 21:00,0.601,0.152,0,0
2012-09-08 22:00,0.425,0.172,0,0
2012-09-08 23:00,0.293,0.158,0,0
2012-09-09 00:00,0.238,0.158,0,0
2012-09-09 01:00,0.270,0.173,0,0
2012-09-09 02:00,0.325,0.179,0,0
2012-09-09 03:00,0.625,0.190,0,0
2012-09-09 04:00,0.625,0.225,0,0
2012-09-09 05:00,0.741,0.215,0,0
2012-09-09 06:00,0.769,0.167,0,0
2012-09-09 07:00,0.807,0.212,0,0
2012-09-09 08:00,0.821,0.223,0,0
2012-09-09 09:00,0.654,0.166,0,0
2012-09-09 10:00,0.596,0.169,0,0
2012-09-09 11:00,0.431,0.191,0,0
2012-09-09 12:00,0.431,0.202,0,0
2012-09-09 13:00,0.473,0.191,0,0
2012-09-09 14:00,0.545,0.192,0,0
2012-09-09 15:00,0.691,0.191,0,0
2012-09-09 16:00,0.838,0.170,0,0
2012-09-09 17:00,1.036,0.180,0,0
2012-09-09 18:00,1.089,0.148,0,0
2012-09-09 19:00,1.096,0.137,0,0
2012-09-09 20:00,1.086,0.169,0,0
2012-09-09 21:00,0.949,0.160,0,0
2012-09-09 22:00,0.793,0.158,0,0
2012-09-09 23:00,0.665,0.146,0,0
2012-09-10 00:00,0.513,0.170,0,0
2012-09-10 01:00,0.451,0.172,0,0
2012-09-10 02:00,0.489,0.146,0,0
2012-09-10 03:00,0.559,0.216,0,0
2012-09-10 04:00,0.678,0.192,0,0
2012-09-10 05:00,0.838,0.221,0,0
2012-09-10 06:00,0.940,0.213,0,0
2012-09-10 07:00,0.969,0.223,0,0
2012-09-10 08:00,0.964,0.176,0,0
2012-09-10 09:00,0.863,0.189,0,0
2012-09-10 10:00,0.705,0.190,0,0
2012-09-10 11:00,0.560,0.203,0,0
2012-09-10 12:00,0.468,0.164,0,0
2012-09-10 13:00,0.405,0.222,0,0
2012-09-10 14:00,0.457,0.189,0,0
2012-09-10 15:00,0.590,0.192,0,0
2012-09-10 16:00,0.715,0.194,0,0
2012-09-10 17:00,0.898,0.168,0,0
2012-09-10 18:00,1.071,0.231,0,0
2012-09-10 19:00,1.169,0.191,0,0
2012-09-10 20:00,1.166,0.197,0,0
2012-09-10 21:00,1.137,0.177,0,0
2012-09-10 22:00,1.003,0.205,0,0
2012-09-10 23:00,0.847,0.206,0,0
2012-09-11 00:00,0.674,0.195,0,0
2012-09-11 01:00,0.530,0.168,0,0
2012-09-11 02:00,0.490,0.234,0,0
2012-09-11 03:00,0.508,0.185,0,0
2012-09-11 04:00,0.602,0.207,0,0
2012-09-11 05:00,0.722,0.186,0,0
2012-09-11 06:00,0.855,0.208,0,0
2012-09-11 07:00,0.987,0.163,0,0
2012-09-11 08:00,1.021,0.176,0,0
2012-09-11 09:00,0.975,0.194,0,0
2012-09-11 10:00,0.881,0.217,0,0
2012-09-11 11:00,0.730,0.212,0,0
2012-09-11 12:00,0.543,0.197,0,0
2012-09-11 13:00,0.405,0.200,0,0
2012-09-11 14:00,0.347,0.162,0,0
2012-09-11 15:00,0.435,0.184,0,0
2012-09-11 16:00,0.547,0.185,0,0
2012-09-11 17:00,0.710,0.239,0,0
2012-09-11 18:00,0.907,0.166,0,0
2012-09-11 19:00,1.083,0.188,0,0
2012-09-11 20:00,1.161,0.200,0,0
2012-09-11 21:00,1.178,0.199,0,0
2012-09-11 22:00,1.110,0.217,0,0
2012-09-11 23:00,0.960,0.194,0,0
2012-09-12 00:00,0.770,0.178,0,0
2012-09-12 01:00,0.562,0.182,0,0
2012-09-12 02:00,0.386,0.198,0,0
2012-09-12 03:00,0.343,0.212,0,0
2012-09-12 04:00,0.344,0.187,0,0
2012-09-12 05:00,0.449,0.214,0,0
2012-09-12 06:00,0.603,0.187,0,0
2012-09-12 07:00,0.785,0.171,0,0
2012-09-12 08:00,0.943,0.203,0,0
2012-09-12 09:00,0.980,0.257,0,0
2012-09-12 10:00,0.920,0.170,0,0
2012-09-12 11:00,0.814,0.206,0,0
2012-09-12 12:00,0.655,0.195,0,0
2012-09-12 13:00,0.468,0.166,0,0
2012-09-12 14:00,0.297,0.185,0,0
2012-09-12 15:00,0.261,0.229,0,0
2012-09-12 16:00,0.331,0.191,0,0
2012-09-12 17:00,0.479,0.214,0,0
2012-09-12 18:00,0.691,0.168,0,0
2012-09-12 19:00,0.911,0.148,0,0
2012-09-12 20:00,1.087,0.165,0,0
2012-09-12 21:00,1.169,0.142,0,0
2012-09-12 22:00,1.109,0.170,0,0
2012-09-12 23:00,1.023,0.134,0,0
2012-09-13 00:00,0.858,0.133,0,0
2012-09-13 01:00,0.623,0.127,0,0
2012-09-13 02:00,0.391,0.127,0,0
2012-09-13 03:00,0.246,0.123,0,0
2012-09-13 04:00,0.224,0.115,0,0
2012-09-13 05:00,0.308,0.119,0,0
2012-09-13 06:00,0.453,0.140,0,0
2012-09-13 07:00,0.677,0.148,0,0
2012-09-13 08:00,0.877,0.136,0,0
2012-09-13 09:00,0.997,0.154,0,0
2012-09-13 10:00,1.035,0.136,0,0
2012-09-13 11:00,0.957,0.138,0,0
2012-09-13 12:00,0.826,0.156,0,0
2012-09-13 13:00,0.629,0.153,0,0
2012-09-13 14:00,0.388,0.147,0,0
2012-09-13 15:00,0.234,0.163,0,0
2012-09-13 16:00,0.175,0.140,0,0
2012-09-13 17:00,0.231,0.153,0,0
2012-09-13 18:00,0.419,0.168,0,0
2012-09-13 19:00,0.643,0.160,0,0
2012-09-13 20:00,0.903,0.166,0,0
2012-09-13 21:00,1.097,0.164,0,0
2012-09-13 22:00,1.159,0.191,0,0
2012-09-13 23:00,1.112,0.176,0,0
2012-09-14 00:00,0.948,0.164,0,0
2012-09-14 01:00,0.712,0.155,0,0
2012-09-14 02:00,0.469,0.158,0,0
2012-09-14 03:00,0.237,0.187,0,0
2012-09-14 04:00,0.120,0.152,0,0
2012-09-14 05:00,0.164,0.155,0,0
2012-09-14 06:00,0.279,0.161,0,0
2012-09-14 07:00,0.502,0.171,0,0
2012-09-14 08:00,0.775,0.171,0,0
2012-09-14 09:00,0.980,0.182,0,0
2012-09-14 10:00,1.149,0.182,0,0
2012-09-14 11:00,1.152,0.166,0,0
2012-09-14 12:00,1.053,0.156,0,0
2012-09-14 13:00,0.845,0.132,0,0
2012-09-14 14:00,0.590,0.126,0,0
2012-09-14 15:00,0.361,0.143,0,0
2012-09-14 16:00,0.193,0.151,0,0
2012-09-14 17:00,0.174,0.143,0,0
2012-09-14 18:00,0.285,0.149,0,0
2012-09-14 19:00,0.478,0.142,0,0
2012-09-14 20:00,0.742,0.121,0,0
2012-09-14 21:00,0.997,0.159,0,0
2012-09-14 22:00,1.163,0.148,0,0
2012-09-14 23:00,1.209,0.133,0,0
2012-09-15 00:00,1.094,0.163,0,0
2012-09-15 01:00,0.905,0.160,0,0
2012-09-15 02:00,0.630,0.141,0,0
2012-09-15 03:00,0.324,0.138,0,0
2012-09-15 04:00,0.104,0.120,0,0
2012-09-15 05:00,-0.016,0.112,0,0
2012-09-15 06:00,0.056,0.140,0,0
2012-09-15 07:00,0.261,0.125,0,0
2012-09-15 08:00,0.518,0.142,0,0
2012-09-15 09:00,0.817,0.161,0,0
2012-09-15 10:00,1.063,0.149,0,0
2012-09-15 11:00,1.174,0.141,0,0
2012-09-15 12:00,1.165,0.166,0,0
2012-09-15 13:00,1.002,0.170,0,0
2012-09-15 14:00,0.793,0.152,0,0
2012-09-15 15:00,0.512,0.135,0,0
2012-09-15 16:00,0.273,0.139,0,0
2012-09-15 17:00,0.086,0.168,0,0
2012-09-15 18:00,0.082,0.171,0,0
2012-09-15 19:00,0.281,0.182,0,0
2012-09-15 20:00,0.545,0.176,0,0
2012-09-15 21:00,0.844,0.182,0,0
2012-09-15 22:00,1.138,0.156,0,0
2012-09-15 23:00,1.321,0.193,0,0
2012-09-16 00:00,1.309,0.161,0,0
2012-09-16 01:00,1.203,0.167,0,0
2012-09-16 02:00,0.973,0.263,0,0
2012-09-16 03:00,0.690,0.175,0,0
2012-09-16 04:00,0.384,0.213,0,0
2012-09-16 05:00,0.161,0.176,0,0
2012-09-16 06:00,0.083,0.202,0,0
2012-09-16 07:00,0.232,0.207,0,0
2012-09-16 08:00,0.385,0.203,0,0
2012-09-16 09:00,0.689,0.222,0,0
2012-09-16 10:00,1.012,0.274,0,0
2012-09-16 11:00,1.251,0.178,0,0
2012-09-16 12:00,1.359,0.203,0,0
2012-09-16 13:00,1.295,0.221,0,0
2012-09-16 14:00,1.082,0.224,0,0
2012-09-16 15:00,0.823,0.244,0,0
2012-09-16 16:00,0.470,0.252,0,0
2012-09-16 17:00,0.195,0.255,0,0
2012-09-16 18:00,0.065,0.238,0,0
2012-09-16 19:00,0.101,0.246,0,0
2012-09-16 20:00,0.255,0.263,0,0
2012-09-16 21:00,0.523,0.266,0,0
2012-09-16 22:00,0.845,0.229,0,0
2012-09-16 23:00,1.132,0.212,0,0
2012-09-17 00:00,1.255,0.222,0,0
2012-09-17 01:00,1.207,0.217,0,0
2012-09-17 02:00,1.039,0.212,0,0
2012-09-17 03:00,0.813,0.240,0,0
2012-09-17 04:00,0.481,0.153,0,0
2012-09-17 05:00,0.161,0.181,0,0
2012-09-17 06:00,-0.015,0.229,0,0
2012-09-17 07:00,0.014,0.220,0,0
2012-09-17 08:00,0.134,0.205,0,0
2012-09-17 09:00,0.374,0.228,0,0
2012-09-17 10:00,0.703,0.189,0,0
2012-09-17 11:00,1.083,0.213,0,0
2012-09-17 12:00,1.302,0.216,0,0
2012-09-17 13:00,1.343,0.237,0,0
2012-09-17 14:00,1.282,0.160,0,0
2012-09-17 15:00,1.050,0.182,0,0
2012-09-17 16:00,0.748,0.212,0,0
2012-09-17 17:00,0.366,0.231,0,0
2012-09-17 18:00,0.105,0.147,0,0
2012-09-17 19:00,0.023,0.231,0,0
2012-09-17 20:00,0.077,0.169,0,0
2012-09-17 21:00,0.248,0.170,0,0
2012-09-17 22:00,0.513,0.170,0,0
2012-09-17 23:00,0.841,0.184,0,0
2012-09-18 00:00,1.104,0.193,0,0
2012-09-18 01:00,1.175,0.162,0,0
2012-09-18 02:00,1.117,0.145,0,0
2012-09-18 03:00,0.946,0.139,0,0
2012-09-18 04:00,0.694,0.114,0,0
2012-09-18 05:00,0.342,0.148,0,0
2012-09-18 06:00,0.029,0.170,0,0
2012-09-18 07:00,-0.069,0.151,0,0
2012-09-18 08:00,-0.021,0.125,0,0
2012-09-18 09:00,0.100,0.136,0,0
2012-09-18 10:00,0.392,0.152,0,0
2012-09-18 11:00,0.763,0.176,0,0
2012-09-18 12:00,1.073,0.157,0,0
2012-09-18 13:00,1.267,0.177,0,0
2012-09-18 14:00,1.281,0.183,0,0
2012-09-18 15:00,1.142,0.183,0,0
2012-09-18 16:00,0.879,0.177,0,0
2012-09-18 17:00,0.540,0.170,0,0
2012-09-18 18:00,0.183,0.187,0,0
2012-09-18 19:00,-0.113,0.159,0,0
2012-09-18 20:00,-0.170,0.177,0,0
2012-09-18 21:00,-0.118,0.178,0,0
2012-09-18 22:00,0.019,0.163,0,0
2012-09-18 23:00,0.296,0.187,0,0
2012-09-19 00:00,0.592,0.158,0,0
2012-09-19 01:00,0.840,0.189,0,0
2012-09-19 02:00,0.985,0.189,0,0
2012-09-19 03:00,0.920,0.188,0,0
2012-09-19 04:00,0.704,0.197,0,0
2012-09-19 05:00,0.453,0.145,0,0
2012-09-19 06:00,0.174,0.172,0,0
2012-09-19 07:00,-0.124,0.168,0,0
2012-09-19 08:00,-0.159,0.168,0,0
2012-09-19 09:00,-0.133,0.197,0,0
2012-09-19 10:00,0.116,0.148,0,0
2012-09-19 11:00,0.449,0.170,0,0
2012-09-19 12:00,0.829,0.204,0,0
2012-09-19 13:00,1.179,0.197,0,0
2012-09-19 14:00,1.388,0.253,0,0
2012-09-19 15:00,1.379,0.240,0,0
2012-09-19 16:00,1.266,0.275,0,0
2012-09-19 17:00,1.043,0.296,0,0
2012-09-19 18:00,0.770,0.254,0,0
2012-09-19 19:00,0.436,0.232,0,0
2012-09-19 20:00,0.230,0.251,0,0
2012-09-19 21:00,0.185,0.242,0,0
2012-09-19 22:00,0.234,0.274,0,0
2012-09-19 23:00,0.447,0.229,0,0
2012-09-20 00:00,0.734,0.244,0,0
2012-09-20 01:00,1.025,0.218,0,0
2012-09-20 02:00,1.193,0.221,0,0
2012-09-20 03:00,1.234,0.263,0,0
2012-09-20 04:00,1.142,0.274,0,0
2012-09-20 05:00,0.971,0.256,0,0
2012-09-20 06:00,0.681,0.269,0,0
2012-09-20 07:00,0.427,0.228,0,0
2012-09-20 08:00,0.202,0.257,0,0
