 UTC           m   sec  deg     m     sec    mB     m/s  deg Air(C) Sfc(C) m/s deg  f
2012 05 23 20 02  1.01  8.33 121           5.93                                          1
2012 05 23 20 32  0.97  8.33 114           5.81                           19.5           1
2012 05 23 21 02  1.04  9.09 120           5.96                           19.4           1
2012 05 23 21 32  0.95  9.09 130           5.74                           19.4           1
2012 05 23 22 02  0.90  8.33 107           5.66                           19.5           1
2012 05 23 22 32  0.97  8.33 128           5.75                           19.5           1
2012 05 23 23 02  0.97  8.33 120           5.14                           19.5           1
2012 05 23 23 32  1.15  8.33 118           5.50                           19.3           1
2012 05 24 00 02  1.07  8.33 120           5.44                           19.3           1
2012 05 24 00 32  0.96  8.33 111           5.68                           19.3           1
2012 05 24 01 02  0.90  8.33 118           5.47                           20.1           1
2012 05 24 01 32  0.96  8.33 123           5.90                           20.1           1
2012 05 24 02 02  0.95  8.33 118           5.97                           20.0           1
2012 05 24 02 32  0.92  8.33 124           5.82                           19.8           1
2012 05 24 03 02  0.94  8.33 127           6.14                           19.6           1
2012 05 24 03 32  0.87  8.33 123           5.90                           19.7           1
2012 05 24 04 02  0.85  8.33 130           6.01                           20.1           1
2012 05 24 04 32  0.89  8.33 120           6.27                           20.0           1
2012 05 24 05 02  0.83  8.33 118           6.17                           20.0           1
2012 05 24 05 32  0.92  8.33 118           5.19                           20.0           1
2012 05 24 06 02  0.99  8.33 118           4.72                           19.5           1
2012 05 24 06 32  0.88  8.33 123           4.93                           19.2           1
2012 05 24 07 02  0.85  8.33 116           5.51                           19.0           1
2012 05 24 07 32  0.82  8.33 121           5.97                           19.1           1
2012 05 24 08 02  0.79  8.33 117           6.40                           19.0           1
2012 05 24 08 32  0.85  7.69 121           6.69                           19.0           1
2012 05 24 09 02  0.85  9.09 104           6.59                           19.0           1
2012 05 24 09 32  0.86  8.33 120           6.14                           19.0           1
2012 05 24 10 02  0.95  8.33 111           6.15                           19.0           1
2012 05 24 10 32  0.83  7.69 117           5.58                           19.1           1
2012 05 24 11 02  0.87  8.33 104           5.86                           19.1           1
2012 05 24 11 32  0.95  9.09 111           5.79                           19.1           1
2012 05 24 12 02  1.01  8.33 117           5.75                           19.0           1
2012 05 24 12 32  0.96  8.33 110           5.67                           18.9           1
2012 05 24 13 02  0.99  9.09 109           5.76                           19.2           1
2012 05 24 13 32  0.97  9.09 109           5.53                           19.6           1
2012 05 24 14 02  0.98  7.69 123           5.23                           19.9           1
2012 05 24 14 32  0.94  8.33 125           5.05                           20.0           1
2012 05 24 15 02  0.92  9.09 114           5.04                           20.0           1
2012 05 24 15 32  0.93  9.09 111           5.07                           20.0           1
2012 05 24 16 02  0.92  9.09 109           5.20                           20.2           1
2012 05 24 16 32  0.87  8.33 111           5.22                           20.3           1
2012 05 24 17 02  0.85  8.33 118           5.13                           20.2           1
2012 05 24 17 32  0.88  8.33 111           5.12                           20.5           1
2012 05 24 18 02  0.92  9.09 110           5.41                           20.5           1
2012 05 24 18 32  0.88  8.33 121           5.18                           20.5           1
2012 05 24 19 02  0.88  8.33 118           5.31                           20.5           1
2012 05 24 19 32  0.86  8.33 120           5.50                           20.7           1
2012 05 24 20 02  0.79  9.09 116           5.34                           20.8           1
2012 05 24 20 32  0.87  8.33 118           5.67                           20.7           1
2012 05 24 21 02  0.90  8.33 118           5.60                           20.8           1
2012 05 24 21 32  0.95  8.33 120           5.70                           20.7           1
2012 05 24 22 02  0.92  8.33 118           5.67                           20.8           1
2012 05 24 22 32  0.88  7.69 128           5.59                           20.6           1
2012 05 24 23 02  0.84  8.33 120           5.37                           20.5           1
2012 05 24 23 32  0.92  8.33 116           5.26                           20.3           1
2012 05 25 00 02  1.02  8.33 120           5.12                           20.0           1
